Block,Plot,Flag,Pos,Flag_Pos,Population,Site,Habitat,Treatment,HabitatTreatment,PlantDate,LeafMeas1,LeafMeas2,Growth,MortDate,MortHarvDate,CensorAll,DaysMort,Census,DaysCensus,NumDaysAlive,HarvDate,CensorBiomass,BudDate,CensorReproduction,CensorTest,PropBud,PropBudSite,Height,Biomass,Biomass date
A,5,A5,3,A5_03,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,3/19/21,30,46,16,,7/2/21,1,105,11/15/21,241,105,7/2/21,1,6/25/21,1,0,0.763,0.8,12.4,0.762,9/8/21
B,2,B2,15,B2_15,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,20.28,51,30.72,8/27/21,8/27/21,1,181,11/15/21,261,181,8/27/21,1,,0,1,0.763,0.8,33.8,7.048,9/7/21
C,2,C2,13,C2_13,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,27.01,,-27.01,4/30/21,4/30/21,1,62,11/15/21,261,62,,0,,0,1,0.763,0.8,,,
D,1,D1,13,D1_13,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,14.95,56,41.05,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.8,56.6,7.803,9/13/21
E,5,E5,6,E5_06,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,16.67,42,25.33,,7/16/21,1,139,11/15/21,261,139,7/16/21,1,7/16/21,1,0,0.763,0.8,21.5,2.572,9/3/21
F,1,F1,10,F1_10,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,26.14,45,18.86,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.8,55.2,16.301,9/22/21
G,1,G1,8,G1_08,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,3/9/21,20,36,16,,9/10/21,1,185,11/15/21,251,185,9/10/21,1,9/10/21,1,0,0.763,0.8,45.2,6.634,9/22/21
H,4,H4,4,H4_04,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,17.12,58,40.88,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.8,37.5,5.266,9/22/21
I,4,I4,12,I4_12,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,22.59,52,29.41,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.8,50.8,7.099,9/20/21
J,2,J2,3,J2_03,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,11.91,45,33.09,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.8,48.5,4.164,9/20/21
A,5,A5,14,A5_14,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,19.08,37,17.92,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,7/2/21,1,0,0.763,0.7,20.5,1.772,9/8/21
B,2,B2,10,B2_10,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,27.38,57,29.62,7/9/21,7/9/21,1,132,11/15/21,261,132,7/9/21,1,,0,1,0.763,0.7,29.5,5.889,9/7/21
C,2,C2,6,C2_06,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,25.83,51,25.17,,8/12/21,1,166,11/15/21,261,166,8/12/21,1,8/12/21,1,0,0.763,0.7,43.4,10.443,9/8/21
D,1,D1,9,D1_09,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,3/1/21,23,50,27,,9/10/21,1,193,11/15/21,259,193,9/10/21,1,9/10/21,1,0,0.763,0.7,47.1,13.618,9/22/21
E,5,E5,11,E5_11,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,9.35,36,26.65,,7/16/21,1,139,11/15/21,261,139,7/16/21,1,7/16/21,1,0,0.763,0.7,23.1,1.719,9/3/21
F,1,F1,15,F1_15,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,11.14,40,28.86,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,48.5,10.664,9/22/21
G,1,G1,14,G1_14,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,12.55,52,39.45,9/10/21,9/10/21,1,195,11/15/21,261,195,,0,,0,1,0.763,0.7,,,
H,4,H4,1,H4_01,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,3/9/21,27,47,20,,9/3/21,1,178,11/15/21,251,178,9/3/21,1,9/3/21,1,0,0.763,0.7,42,13.072,9/9/21
I,4,I4,7,I4_07,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,20.98,53,32.02,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.7,51,7.268,9/20/21
J,2,J2,7,J2_07,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,3/24/21,39,44,5,7/16/21,7/16/21,1,114,11/15/21,236,114,7/16/21,1,,0,1,0.763,0.7,20.7,1.54,9/3/21
A,5,A5,7,A5_07,GUA-A,GUA,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,16.18,31,14.82,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,1,47.5,9.279,9/20/21
B,2,B2,8,B2_08,GUA-A,GUA,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,23.94,44,20.06,,7/9/21,1,132,11/15/21,261,132,7/9/21,1,7/9/21,1,0,0.763,1,34.4,11.967,9/7/21
C,2,C2,7,C2_07,GUA-A,GUA,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,27.18,40,12.82,,9/17/21,1,202,11/15/21,261,202,9/17/21,1,9/17/21,1,0,0.763,1,34.5,3.312,9/22/21
D,1,D1,8,D1_08,GUA-A,GUA,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,25.64,50,24.36,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,1,50.3,11.275,9/20/21
E,5,E5,13,E5_13,GUA-A,GUA,Roadside,Biomass Removal,Roadside/Biomass Removal,3/24/21,24,50,26,,9/10/21,1,170,11/15/21,236,170,9/10/21,1,9/10/21,1,0,0.763,1,40.4,6.686,9/20/21
F,1,F1,14,F1_14,GUA-A,GUA,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,19.32,59,39.68,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,1,60.9,23.736,9/20/21
G,1,G1,10,G1_10,GUA-A,GUA,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,11.99,50,38.01,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,1,37.8,3.618,9/14/21
H,4,H4,7,H4_07,GUA-A,GUA,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,20.75,58,37.25,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,1,68.5,16.363,9/20/21
I,4,I4,10,I4_10,GUA-A,GUA,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,17.42,25,7.58,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,1,22.4,0.775,9/20/21
J,2,J2,16,J2_16,GUA-A,GUA,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,7.68,40,32.32,,9/17/21,1,202,11/15/21,261,202,9/17/21,1,9/17/21,1,0,0.763,1,24.5,0.989,9/22/21
A,5,A5,16,A5_16,LEX-A,LEX,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,23.46,32,8.54,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,6/25/21,1,0,0.763,0.7,18.1,1.21,9/8/21
B,2,B2,4,B2_04,LEX-A,LEX,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,24.56,74,49.44,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,72.4,21.673,9/20/21
C,2,C2,14,C2_14,LEX-A,LEX,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,14.06,61,46.94,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,61.7,9.373,9/20/21
D,1,D1,1,D1_01,LEX-A,LEX,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,18.78,30,11.22,9/3/21,9/3/21,1,188,11/15/21,261,188,9/3/21,1,,0,1,0.763,0.7,22.3,2.132,9/28/21
E,5,E5,4,E5_04,LEX-A,LEX,Roadside,Biomass Removal,Roadside/Biomass Removal,3/12/21,25,43,18,,9/10/21,1,182,11/15/21,248,182,9/10/21,1,9/10/21,1,0,0.763,0.7,41.9,6.183,9/20/21
F,1,F1,13,F1_13,LEX-A,LEX,Roadside,Biomass Removal,Roadside/Biomass Removal,3/12/21,28,49,21,,9/10/21,1,182,11/15/21,248,182,9/10/21,1,,0,1,0.763,0.7,55.5,30.203,9/20/21
G,1,G1,4,G1_04,LEX-A,LEX,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,8.02,51,42.98,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,45.8,5.368,9/13/21
H,4,H4,9,H4_09,LEX-A,LEX,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,9.53,54,44.47,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,37.3,3.859,9/22/21
I,4,I4,1,I4_01,LEX-A,LEX,Roadside,Biomass Removal,Roadside/Biomass Removal,3/12/21,27,32,5,6/18/21,6/18/21,1,98,11/15/21,248,98,7/2/21,1,,0,1,0.763,0.7,5.3,0.236,9/7/21
J,2,J2,5,J2_05,LEX-A,LEX,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,26.41,38,11.59,,9/3/21,1,188,11/15/21,261,188,9/3/21,1,9/3/21,1,0,0.763,0.7,29.5,1.56,9/28/21
A,5,A5,11,A5_11,OAP-A,OAP,Roadside,Biomass Removal,Roadside/Biomass Removal,3/19/21,22,70,48,,9/10/21,1,175,11/15/21,241,175,9/10/21,1,9/10/21,1,0,0.763,0.7,61.5,20.413,9/13/21
B,2,B2,5,B2_05,OAP-A,OAP,Roadside,Biomass Removal,Roadside/Biomass Removal,3/19/21,35,46,11,,7/9/21,1,112,11/15/21,241,112,7/9/21,1,7/9/21,1,0,0.763,0.7,33.9,11.527,9/8/21
C,2,C2,11,C2_11,OAP-A,OAP,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,10.49,,-10.49,4/5/21,4/5/21,1,37,11/15/21,261,37,,0,,0,1,0.763,0.7,,,
D,1,D1,2,D1_02,OAP-A,OAP,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,22.48,41,18.52,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,50.9,9.151,9/13/21
E,5,E5,7,E5_07,OAP-A,OAP,Roadside,Biomass Removal,Roadside/Biomass Removal,3/24/21,15,32,17,6/11/21,6/11/21,1,79,11/15/21,236,79,7/2/21,1,,0,1,0.763,0.7,6.8,0.207,9/28/21
F,1,F1,1,F1_01,OAP-A,OAP,Roadside,Biomass Removal,Roadside/Biomass Removal,3/16/21,29,46,17,,7/16/21,1,122,11/15/21,244,122,7/16/21,1,7/16/21,1,0,0.763,0.7,22.5,2.933,9/3/21
G,1,G1,12,G1_12,OAP-A,OAP,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,14.69,53,38.31,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,40.5,4.572,9/20/21
H,4,H4,8,H4_08,OAP-A,OAP,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,23.2,60,36.8,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,40.2,7.381,9/22/21
I,4,I4,6,I4_06,OAP-A,OAP,Roadside,Biomass Removal,Roadside/Biomass Removal,3/24/21,16,50,34,,9/13/21,1,173,11/15/21,236,173,9/13/21,1,9/10/21,1,0,0.763,0.7,36.5,4.96,9/20/21
J,2,J2,11,J2_11,OAP-A,OAP,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,21.98,,-21.98,3/29/21,3/29/21,1,30,11/15/21,261,30,,0,,0,1,0.763,0.7,,,
A,5,A5,8,A5_08,PAR-A,PAR,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,19.02,34,14.98,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,6/25/21,1,0,0.763,0.9,14.3,1.92,9/8/21
B,2,B2,7,B2_07,PAR-A,PAR,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,14.96,59,44.04,,9/3/21,1,188,11/15/21,261,188,9/3/21,1,9/3/21,1,0,0.763,0.9,62,24.371,9/9/21
C,2,C2,15,C2_15,PAR-A,PAR,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,18.89,40,21.11,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.9,37.6,3.279,9/14/21
D,1,D1,12,D1_12,PAR-A,PAR,Roadside,Biomass Removal,Roadside/Biomass Removal,3/12/21,22,,-22,5/16/21,5/16/21,1,65,11/15/21,248,65,,0,,0,1,0.763,0.9,,,
E,5,E5,8,E5_08,PAR-A,PAR,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,19.62,37,17.38,,7/16/21,1,139,11/15/21,261,139,7/16/21,1,7/16/21,1,0,0.763,0.9,13.6,0.348,9/29/21
F,1,F1,4,F1_04,PAR-A,PAR,Roadside,Biomass Removal,Roadside/Biomass Removal,3/9/21,21,56,35,,9/10/21,1,185,11/15/21,251,185,9/10/21,1,9/10/21,1,0,0.763,0.9,50.3,10.419,9/13/21
G,1,G1,15,G1_15,PAR-A,PAR,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,18.3,60,41.7,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.9,52,7.75,9/13/21
H,4,H4,14,H4_14,PAR-A,PAR,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,11.94,55,43.06,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.9,34.2,4.603,9/22/21
I,4,I4,3,I4_03,PAR-A,PAR,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,22.07,48,25.93,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.9,43.1,3.15,9/20/21
J,2,J2,15,J2_15,PAR-A,PAR,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,12.71,49,36.29,,9/17/21,1,202,11/15/21,261,202,9/17/21,1,9/17/21,1,0,0.763,0.9,22.1,1.793,9/22/21
A,5,A5,12,A5_12,PEN-A,PEN,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,12.56,49,36.44,7/2/21,7/2/21,1,125,11/15/21,261,125,7/2/21,1,,0,1,0.763,0.7,20.6,1.414,9/8/21
B,2,B2,12,B2_12,PEN-A,PEN,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,16.68,49,32.32,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,48,12.253,9/13/21
C,2,C2,1,C2_01,PEN-A,PEN,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,26.86,45,18.14,,8/27/21,1,181,11/15/21,261,181,8/27/21,1,8/27/21,1,0,0.763,0.7,58.7,14.03,9/8/21
D,1,D1,4,D1_04,PEN-A,PEN,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,18.11,52,33.89,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,39.9,3.194,9/28/21
E,5,E5,9,E5_09,PEN-A,PEN,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,13.51,36,22.49,,8/19/21,1,173,11/15/21,261,173,8/19/21,1,,0,1,0.763,0.7,31.2,2.326,9/7/21
F,1,F1,9,F1_09,PEN-A,PEN,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,23.01,50,26.99,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,73.9,37.61,9/13/21
G,1,G1,16,G1_16,PEN-A,PEN,Roadside,Biomass Removal,Roadside/Biomass Removal,3/1/21,13,61,48,,9/10/21,1,193,11/15/21,259,193,9/10/21,1,9/10/21,1,0,0.763,0.7,36.6,3.601,9/14/21
H,4,H4,16,H4_16,PEN-A,PEN,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,17.63,49,31.37,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,50,6.299,9/20/21
I,4,I4,8,I4_08,PEN-A,PEN,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,21.51,50,28.49,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,58.1,6.891,9/28/21
J,2,J2,10,J2_10,PEN-A,PEN,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,8.74,26,17.26,7/16/21,7/16/21,1,139,11/15/21,261,139,7/16/21,1,,0,1,0.763,0.7,10,0.481,9/28/21
A,5,A5,5,A5_05,SSJ-A,SSJ,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,13.83,36,22.17,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,6/25/21,1,0,0.763,0.6,12.6,1.195,9/8/21
B,2,B2,6,B2_06,SSJ-A,SSJ,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,23.27,81,57.73,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.6,61,43.922,9/22/21
C,2,C2,4,C2_04,SSJ-A,SSJ,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,15.61,42,26.39,,9/17/21,1,202,11/15/21,261,202,9/17/21,1,9/17/21,1,0,0.763,0.6,38.1,2.916,9/22/21
D,1,D1,10,D1_10,SSJ-A,SSJ,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,9.36,,-9.36,4/5/21,4/5/21,1,37,11/15/21,261,37,,0,,0,1,0.763,0.6,,,
E,5,E5,12,E5_12,SSJ-A,SSJ,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,16.56,34,17.44,7/9/21,7/9/21,1,132,11/15/21,261,132,7/9/21,1,,0,1,0.763,0.6,21.5,1.227,9/28/21
F,1,F1,12,F1_12,SSJ-A,SSJ,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,16.03,43,26.97,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.6,73.5,39.737,9/20/21
G,1,G1,7,G1_07,SSJ-A,SSJ,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,25.23,15,-10.23,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.6,11.6,0.269,9/28/21
H,4,H4,2,H4_02,SSJ-A,SSJ,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,14.99,63,48.01,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.6,49.5,11.125,9/22/21
I,4,I4,15,I4_15,SSJ-A,SSJ,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,17.76,,-17.76,5/22/21,5/22/21,1,84,11/15/21,261,84,,0,,0,1,0.763,0.6,,,
J,2,J2,2,J2_02,SSJ-A,SSJ,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,13.66,30,16.34,7/16/21,7/16/21,1,139,11/15/21,261,139,7/16/21,1,,0,1,0.763,0.6,3.9,0.086,9/28/21
A,5,A5,1,A5_01,BAY-O,BAY,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,20.49,33,12.51,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,6/25/21,1,0,0.763,0.8,24.5,1.986,9/8/21
B,2,B2,11,B2_11,BAY-O,BAY,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,21.69,53,31.31,,8/27/21,1,181,11/15/21,261,181,8/27/21,1,,0,1,0.763,0.8,40.7,13.478,9/8/21
C,2,C2,5,C2_05,BAY-O,BAY,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,15.42,54,38.58,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.8,66,10.089,9/20/21
D,1,D1,3,D1_03,BAY-O,BAY,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,10.86,44,33.14,6/25/21,6/25/21,1,118,11/15/21,261,118,7/2/21,1,,0,1,0.763,0.8,9.6,0.67,9/8/21
E,5,E5,15,E5_15,BAY-O,BAY,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/12/21,21,46,25,,7/16/21,1,126,11/15/21,248,126,7/16/21,1,7/16/21,1,0,0.763,0.8,24.5,6.241,9/7/21
F,1,F1,7,F1_07,BAY-O,BAY,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,23.69,46,22.31,,7/30/21,1,153,11/15/21,261,153,7/30/21,1,7/30/21,1,0,0.763,0.8,39.4,10.114,9/7/21
G,1,G1,3,G1_03,BAY-O,BAY,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,18.85,52,33.15,,9/3/21,1,188,11/15/21,261,188,9/3/21,1,9/3/21,1,0,0.763,0.8,45.4,9.783,9/8/21
H,4,H4,10,H4_10,BAY-O,BAY,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,15.31,76,60.69,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.8,41.5,9.962,9/22/21
I,4,I4,2,I4_02,BAY-O,BAY,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,19.07,35,15.93,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.8,35.9,1.946,9/20/21
J,2,J2,1,J2_01,BAY-O,BAY,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,10.51,38,27.49,,9/17/21,1,202,11/15/21,261,202,9/17/21,1,9/17/21,1,0,0.763,0.8,21.7,0.638,9/22/21
A,5,A5,9,A5_09,CHE-O,CHE,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/19/21,24,59,35,6/25/21,6/25/21,1,98,11/15/21,241,98,,0,,0,1,0.763,0.7,,,
B,2,B2,13,B2_13,CHE-O,CHE,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,18.13,60,41.87,6/18/21,6/18/21,1,111,11/15/21,261,111,,0,,0,1,0.763,0.7,,,
C,2,C2,9,C2_09,CHE-O,CHE,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,21.31,59,37.69,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,60,10.224,9/20/21
D,1,D1,11,D1_11,CHE-O,CHE,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/9/21,25,50,25,,9/10/21,1,185,11/15/21,251,185,9/10/21,1,9/10/21,1,0,0.763,0.7,54.3,18.735,9/20/21
E,5,E5,3,E5_03,CHE-O,CHE,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/9/21,24,42,18,,9/3/21,1,178,11/15/21,251,178,9/3/21,1,9/3/21,1,0,0.763,0.7,30.1,3.89,9/8/21
F,1,F1,3,F1_03,CHE-O,CHE,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,25.77,39,13.23,,7/30/21,1,153,11/15/21,261,153,7/30/21,1,7/30/21,1,0,0.763,0.7,33.5,7.549,9/3/21
G,1,G1,1,G1_01,CHE-O,CHE,Vegetated,Biomass Removal,Vegetated/Biomass Removal,3/16/21,26,25,-1,,9/10/21,1,178,11/15/21,244,178,9/10/21,1,9/10/21,1,0,0.763,0.7,33.7,2.332,9/20/21
H,4,H4,12,H4_12,CHE-O,CHE,Vegetated,Biomass Removal,Vegetated/Biomass Removal,2/27/21,17.72,63,45.28,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,50.5,7.72,9/13/21
