Block,Plot,Flag,Pos,Flag_Pos,Population,Site,Habitat,Treatment,HabitatTreatment,PlantDate,LeafMeas1,LeafMeas2,Growth,MortDate,MortHarvDate,CensorAll,DaysMort,Census,DaysCensus,NumDaysAlive,HarvDate,CensorBiomass,BudDate,CensorReproduction,CensorTest,PropBud,PropBudSite,Height,Biomass,Biomass date
F,2,F2,3,F2_03,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,2/27/21,21.12,,-21.12,5/21/21,5/21/21,1,83,11/15/21,261,83,,0,,0,1,0.25,0.2,,,
G,3,G3,15,G3_15,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,2/27/21,18.17,23,4.83,6/4/21,6/4/21,1,97,11/15/21,261,97,,0,,0,1,0.25,0.2,,,
H,2,H2,15,H2_15,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,2/27/21,13.56,34,20.44,7/16/21,7/16/21,1,139,11/15/21,261,139,7/16/21,1,,0,1,0.25,0.2,5.3,0.159,9/29/21
I,5,I5,13,I5_13,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,2/27/21,9.22,,-9.22,5/22/21,5/22/21,1,84,11/15/21,261,84,,0,,0,1,0.25,0.2,,,
J,3,J3,8,J3_08,OAP-A,OAP,Roadside,Grassland,Roadside/Grassland,2/27/21,21.31,45,23.69,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.25,0.2,22.2,0.594,9/28/21
A,2,A2,3,A2_03,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,16.72,33,16.28,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,6/11/21,1,0,0.25,0.2,12.5,0.101,9/8/21
B,1,B1,14,B1_14,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,15.38,18,2.62,6/25/21,6/25/21,1,118,11/15/21,261,118,,0,,0,1,0.25,0.2,,,
C,3,C3,8,C3_08,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,15.01,15,-0.01,6/18/21,6/18/21,1,111,11/15/21,261,111,7/2/21,1,,0,1,0.25,0.2,4.9,,
D,3,D3,13,D3_13,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,17.39,16,-1.39,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.2,,,
E,2,E2,7,E2_07,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,17.21,29,11.79,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,6/25/21,1,0,0.25,0.2,9.5,0.059,9/28/21
F,2,F2,14,F2_14,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,15.31,16,0.69,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.2,,,
G,3,G3,2,G3_02,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,19.49,18,-1.49,7/16/21,7/16/21,1,139,11/15/21,261,139,7/16/21,1,,0,1,0.25,0.2,3.5,0.05,9/29/21
H,2,H2,16,H2_16,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,15.99,34,18.01,7/2/21,7/2/21,1,125,11/15/21,261,125,7/2/21,1,,0,1,0.25,0.2,3.4,0.074,9/7/21
I,5,I5,3,I5_03,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,18.08,18,-0.08,8/5/21,8/5/21,1,159,11/15/21,261,159,8/5/21,1,,0,1,0.25,0.2,3.5,0.08,9/8/21
J,3,J3,3,J3_03,PAR-A,PAR,Roadside,Grassland,Roadside/Grassland,2/27/21,20.28,28,7.72,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.2,,,
A,2,A2,14,A2_14,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,12.06,15,2.94,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.3,,,
B,1,B1,1,B1_01,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,18.94,6,-12.94,5/28/21,5/28/21,1,90,11/15/21,261,90,,0,,0,1,0.25,0.3,,,
C,3,C3,14,C3_14,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,23.3,14,-9.3,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.25,0.3,,,
D,3,D3,16,D3_16,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,16.64,17,0.36,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.25,0.3,16.3,0.626,9/28/21
E,2,E2,12,E2_12,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,25.36,22,-3.36,7/16/21,7/16/21,1,139,11/15/21,261,139,7/16/21,1,,0,1,0.25,0.3,7.3,0.057,9/29/21
F,2,F2,9,F2_09,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,3/9/21,25,21,-4,,10/1/21,1,206,11/15/21,251,206,10/1/21,1,10/1/21,1,0,0.25,0.3,11.2,0.199,10/4/21
G,3,G3,4,G3_04,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,21.05,23,1.95,7/9/21,7/9/21,1,132,11/15/21,261,132,7/9/21,1,,0,1,0.25,0.3,5.2,0.094,9/8/21
H,2,H2,7,H2_07,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,14.22,20,5.78,,10/8/21,1,223,11/15/21,261,223,10/8/21,1,10/8/21,1,0,0.25,0.3,9.7,0.213,10/13/21
I,5,I5,9,I5_09,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,21.92,27,5.08,7/2/21,7/2/21,1,125,11/15/21,261,125,7/2/21,1,,0,1,0.25,0.3,3.2,0.072,9/7/21
J,3,J3,7,J3_07,PEN-A,PEN,Roadside,Grassland,Roadside/Grassland,2/27/21,12.65,25,12.35,8/5/21,8/5/21,1,159,11/15/21,261,159,8/5/21,1,,0,1,0.25,0.3,3.5,0.043,9/7/21
A,2,A2,16,A2_16,SSJ-A,SSJ,Roadside,Grassland,Roadside/Grassland,2/27/21,13.26,11,-2.26,5/28/21,5/28/21,1,90,11/15/21,261,90,,0,,0,1,0.25,0.1,,,
B,1,B1,4,B1_04,SSJ-A,SSJ,Roadside,Grassland,Roadside/Grassland,2/27/21,17.63,29,11.37,6/25/21,6/25/21,1,118,11/15/21,261,118,7/2/21,1,,0,1,0.25,0.1,4.8,0.033,9/8/21
C,3,C3,3,C3_03,SSJ-A,SSJ,Roadside,Grassland,Roadside/Grassland,2/27/21,23.11,17,-6.11,6/11/21,6/11/21,1,104,11/15/21,261,104,7/2/21,1,,0,1,0.25,0.1,5.7,0.035,9/9/21
D,3,D3,4,D3_04,SSJ-A,SSJ,Roadside,Grassland,Roadside/Grassland,2/27/21,18.62,23,4.38,7/9/21,7/9/21,1,132,11/15/21,261,132,7/9/21,1,,0,1,0.25,0.1,2.9,0.051,9/8/21
E,2,E2,15,E2_15,SSJ-A,SSJ,Roadside,Grassland,Roadside/Grassland,3/9/21,35,30,-5,7/23/21,7/23/21,1,136,11/15/21,251,136,7/23/21,1,,0,1,0.25,0.1,5.7,0.061,9/7/21
F,2,F2,12,F2_12,SSJ-A,SSJ,Roadside,Grassland,Roadside/Grassland,2/27/21,13.97,26,12.03,,10/8/21,1,223,11/15/21,261,223,10/8/21,1,10/8/21,1,0,0.25,0.1,12.6,0.215,10/13/21
G,3,G3,9,G3_09,SSJ-A,SSJ,Roadside,Grassland,Roadside/Grassland,2/27/21,17.26,7,-10.26,6/4/21,6/4/21,1,97,11/15/21,261,97,,0,,0,1,0.25,0.1,,,
H,2,H2,1,H2_01,SSJ-A,SSJ,Roadside,Grassland,Roadside/Grassland,3/16/21,26,28,2,7/2/21,7/2/21,1,108,11/15/21,244,108,7/2/21,1,,0,1,0.25,0.1,4.5,0.059,9/7/21
I,5,I5,14,I5_14,SSJ-A,SSJ,Roadside,Grassland,Roadside/Grassland,2/27/21,17.31,13,-4.31,6/25/21,6/25/21,1,118,11/15/21,261,118,,0,,0,1,0.25,0.1,,,
J,3,J3,11,J3_11,SSJ-A,SSJ,Roadside,Grassland,Roadside/Grassland,2/27/21,13.58,30,16.42,7/16/21,7/16/21,1,139,11/15/21,261,139,7/16/21,1,,0,1,0.25,0.1,3,0.053,9/28/21
A,2,A2,13,A2_13,BAY-O,BAY,Vegetated,Grassland,Vegetated/Grassland,2/27/21,15.9,9,-6.9,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.228,0,,,
B,1,B1,11,B1_11,BAY-O,BAY,Vegetated,Grassland,Vegetated/Grassland,2/27/21,15.8,16,0.2,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.228,0,,,
C,3,C3,13,C3_13,BAY-O,BAY,Vegetated,Grassland,Vegetated/Grassland,2/27/21,21.3,,-21.3,5/16/21,5/16/21,1,78,11/15/21,261,78,,0,,0,1,0.228,0,,,
D,3,D3,3,D3_03,BAY-O,BAY,Vegetated,Grassland,Vegetated/Grassland,2/27/21,18.01,5,-13.01,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.228,0,,,
E,2,E2,5,E2_05,BAY-O,BAY,Vegetated,Grassland,Vegetated/Grassland,3/16/21,15,21,6,6/25/21,6/25/21,1,101,11/15/21,244,101,,0,,0,1,0.228,0,,,
F,2,F2,2,F2_02,BAY-O,BAY,Vegetated,Grassland,Vegetated/Grassland,3/9/21,22,,-22,5/21/21,5/21/21,1,73,11/15/21,251,73,,0,,0,1,0.228,0,,,
G,3,G3,1,G3_01,BAY-O,BAY,Vegetated,Grassland,Vegetated/Grassland,2/27/21,24.14,24,-0.14,6/11/21,6/11/21,1,104,11/15/21,261,104,7/2/21,1,,0,1,0.228,0,2.5,0.026,9/9/21
H,2,H2,3,H2_03,BAY-O,BAY,Vegetated,Grassland,Vegetated/Grassland,3/16/21,19,19,0,7/9/21,7/9/21,1,115,11/15/21,244,115,7/9/21,1,,0,1,0.228,0,3.2,0.037,9/7/21
I,5,I5,4,I5_04,BAY-O,BAY,Vegetated,Grassland,Vegetated/Grassland,2/27/21,15.39,12,-3.39,6/25/21,6/25/21,1,118,11/15/21,261,118,,0,,0,1,0.228,0,,,
J,3,J3,10,J3_10,BAY-O,BAY,Vegetated,Grassland,Vegetated/Grassland,2/27/21,8.8,23,14.2,6/25/21,6/25/21,1,118,11/15/21,261,118,7/2/21,1,,0,1,0.228,0,2.3,0.029,9/28/21
A,2,A2,2,A2_02,CHE-O,CHE,Vegetated,Grassland,Vegetated/Grassland,3/19/21,23,16,-7,7/2/21,7/2/21,1,105,11/15/21,241,105,,0,,0,1,0.228,0.4,,,
B,1,B1,9,B1_09,CHE-O,CHE,Vegetated,Grassland,Vegetated/Grassland,2/27/21,17.95,23,5.05,6/18/21,6/18/21,1,111,11/15/21,261,111,,0,,0,1,0.228,0.4,,,
C,3,C3,11,C3_11,CHE-O,CHE,Vegetated,Grassland,Vegetated/Grassland,3/12/21,25,19,-6,7/9/21,7/9/21,1,119,11/15/21,248,119,7/9/21,1,,0,1,0.228,0.4,5,0.032,9/9/21
D,3,D3,10,D3_10,CHE-O,CHE,Vegetated,Grassland,Vegetated/Grassland,2/27/21,20.65,37,16.35,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.228,0.4,18,0.462,9/27/21
E,2,E2,4,E2_04,CHE-O,CHE,Vegetated,Grassland,Vegetated/Grassland,2/27/21,21.84,12,-9.84,6/18/21,6/18/21,1,111,11/15/21,261,111,,0,,0,1,0.228,0.4,,,
F,2,F2,11,F2_11,CHE-O,CHE,Vegetated,Grassland,Vegetated/Grassland,2/27/21,22.64,,-22.64,5/21/21,5/21/21,1,83,11/15/21,261,83,,0,,0,1,0.228,0.4,,,
G,3,G3,14,G3_14,CHE-O,CHE,Vegetated,Grassland,Vegetated/Grassland,2/27/21,14.21,19,4.79,6/4/21,6/4/21,1,97,11/15/21,261,97,,0,,0,1,0.228,0.4,,,
H,2,H2,8,H2_08,CHE-O,CHE,Vegetated,Grassland,Vegetated/Grassland,3/24/21,22,19,-3,7/2/21,7/2/21,1,100,11/15/21,236,100,,0,6/4/21,1,0,0.228,0.4,,,
I,5,I5,1,I5_01,CHE-O,CHE,Vegetated,Grassland,Vegetated/Grassland,2/27/21,21.68,22,0.32,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.228,0.4,16.4,0.45,9/28/21
J,3,J3,5,J3_05,CHE-O,CHE,Vegetated,Grassland,Vegetated/Grassland,2/27/21,25.93,30,4.07,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.228,0.4,13.3,0.248,9/27/21
A,2,A2,9,A2_09,GUA-O,GUA,Vegetated,Grassland,Vegetated/Grassland,2/27/21,22.89,13,-9.89,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.228,0.1,,,
B,1,B1,7,B1_07,GUA-O,GUA,Vegetated,Grassland,Vegetated/Grassland,2/27/21,15.79,18,2.21,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.228,0.1,,,
C,3,C3,9,C3_09,GUA-O,GUA,Vegetated,Grassland,Vegetated/Grassland,2/27/21,23.53,20,-3.53,6/18/21,6/18/21,1,111,11/15/21,261,111,,0,,0,1,0.228,0.1,,,
D,3,D3,8,D3_08,GUA-O,GUA,Vegetated,Grassland,Vegetated/Grassland,2/27/21,26.56,18,-8.56,6/18/21,6/18/21,1,111,11/15/21,261,111,,0,,0,1,0.228,0.1,,,
E,2,E2,2,E2_02,GUA-O,GUA,Vegetated,Grassland,Vegetated/Grassland,3/12/21,29,,-29,4/16/21,4/16/21,1,35,11/15/21,248,35,,0,,0,1,0.228,0.1,,,
F,2,F2,10,F2_10,GUA-O,GUA,Vegetated,Grassland,Vegetated/Grassland,2/27/21,19.53,,-19.53,5/21/21,5/21/21,1,83,11/15/21,261,83,,0,,0,1,0.228,0.1,,,
G,3,G3,7,G3_07,GUA-O,GUA,Vegetated,Grassland,Vegetated/Grassland,2/27/21,20.7,11,-9.7,6/4/21,6/4/21,1,97,11/15/21,261,97,,0,,0,1,0.228,0.1,,,
H,2,H2,10,H2_10,GUA-O,GUA,Vegetated,Grassland,Vegetated/Grassland,3/9/21,18,32,14,7/30/21,7/30/21,1,143,11/15/21,251,143,7/30/21,1,,0,1,0.228,0.1,7.8,0.084,9/8/21
I,5,I5,11,I5_11,GUA-O,GUA,Vegetated,Grassland,Vegetated/Grassland,2/27/21,17.92,12,-5.92,7/16/21,7/16/21,1,139,11/15/21,261,139,7/16/21,1,,0,1,0.228,0.1,1.9,0.017,9/28/21
J,3,J3,13,J3_13,GUA-O,GUA,Vegetated,Grassland,Vegetated/Grassland,2/27/21,24.14,32,7.86,,10/8/21,1,223,11/15/21,261,223,10/8/21,1,10/8/21,1,0,0.228,0.1,11.4,0.218,10/13/21
A,2,A2,15,A2_15,LEX-O,LEX,Vegetated,Grassland,Vegetated/Grassland,2/27/21,30.88,16,-14.88,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.228,0.2,,,
B,1,B1,6,B1_06,LEX-O,LEX,Vegetated,Grassland,Vegetated/Grassland,2/27/21,22.54,34,11.46,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.228,0.2,17.7,0.404,9/28/21
C,3,C3,6,C3_06,LEX-O,LEX,Vegetated,Grassland,Vegetated/Grassland,2/27/21,18.48,,-18.48,5/16/21,5/16/21,1,78,11/15/21,261,78,,0,,0,1,0.228,0.2,,,
D,3,D3,14,D3_14,LEX-O,LEX,Vegetated,Grassland,Vegetated/Grassland,2/27/21,18.16,20,1.84,7/16/21,7/16/21,1,139,11/15/21,261,139,7/16/21,1,,0,1,0.228,0.2,2.7,0.131,9/28/21
E,2,E2,9,E2_09,LEX-O,LEX,Vegetated,Grassland,Vegetated/Grassland,3/16/21,19,15,-4,9/3/21,9/3/21,1,171,11/15/21,244,171,9/3/21,1,,0,1,0.228,0.2,6.3,0.057,9/9/21
F,2,F2,4,F2_04,LEX-O,LEX,Vegetated,Grassland,Vegetated/Grassland,2/27/21,14.45,,-14.45,5/21/21,5/21/21,1,83,11/15/21,261,83,,0,,0,1,0.228,0.2,,,
G,3,G3,6,G3_06,LEX-O,LEX,Vegetated,Grassland,Vegetated/Grassland,2/27/21,13.44,4,-9.44,6/4/21,6/4/21,1,97,11/15/21,261,97,,0,,0,1,0.228,0.2,,,
H,2,H2,14,H2_14,LEX-O,LEX,Vegetated,Grassland,Vegetated/Grassland,2/27/21,16.15,19,2.85,6/18/21,6/18/21,1,111,11/15/21,261,111,,0,,0,1,0.228,0.2,,,
I,5,I5,15,I5_15,LEX-O,LEX,Vegetated,Grassland,Vegetated/Grassland,2/27/21,15.27,12,-3.27,6/1/21,6/1/21,1,94,11/15/21,261,94,,0,,0,1,0.228,0.2,,,
J,3,J3,14,J3_14,LEX-O,LEX,Vegetated,Grassland,Vegetated/Grassland,2/27/21,20.86,35,14.14,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.228,0.2,25.8,1.087,9/28/21
A,2,A2,10,A2_10,OAP-O,OAP,Vegetated,Grassland,Vegetated/Grassland,3/24/21,24,33,9,,7/2/21,1,100,11/15/21,236,100,7/2/21,1,6/25/21,1,0,0.228,0.5,8.1,0.211,9/8/21
B,1,B1,10,B1_10,OAP-O,OAP,Vegetated,Grassland,Vegetated/Grassland,2/27/21,21.82,42,20.18,10/1/21,10/1/21,1,216,11/15/21,261,216,10/1/21,1,,0,1,0.228,0.5,15.8,0.868,10/4/21
C,3,C3,7,C3_07,OAP-O,OAP,Vegetated,Grassland,Vegetated/Grassland,2/27/21,24.84,18,-6.84,6/25/21,6/25/21,1,118,11/15/21,261,118,7/2/21,1,,0,1,0.228,0.5,4.8,0.031,9/9/21
D,3,D3,6,D3_06,OAP-O,OAP,Vegetated,Grassland,Vegetated/Grassland,2/27/21,18.74,30,11.26,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.228,0.5,37,1.295,9/27/21
E,2,E2,11,E2_11,OAP-O,OAP,Vegetated,Grassland,Vegetated/Grassland,3/9/21,22,35,13,,9/24/21,1,199,11/15/21,251,199,9/24/21,1,9/24/21,1,0,0.228,0.5,31.9,1.304,9/27/21
F,2,F2,13,F2_13,OAP-O,OAP,Vegetated,Grassland,Vegetated/Grassland,2/27/21,11.19,26,14.81,,10/1/21,1,216,11/15/21,261,216,10/1/21,1,10/1/21,1,0,0.228,0.5,8.3,0.201,10/4/21
G,3,G3,16,G3_16,OAP-O,OAP,Vegetated,Grassland,Vegetated/Grassland,2/27/21,18.24,39,20.76,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.228,0.5,25.8,0.663,9/28/21
H,2,H2,2,H2_02,OAP-O,OAP,Vegetated,Grassland,Vegetated/Grassland,2/27/21,18.4,24,5.6,7/9/21,7/9/21,1,132,11/15/21,261,132,7/9/21,1,,0,1,0.228,0.5,3.4,0.033,9/7/21
I,5,I5,2,I5_02,OAP-O,OAP,Vegetated,Grassland,Vegetated/Grassland,2/27/21,13.26,19,5.74,11/14/21,11/14/21,1,260,11/15/21,261,260,11/14/21,1,,0,1,0.228,0.5,6.6,0.049,12/1/21
J,3,J3,16,J3_16,OAP-O,OAP,Vegetated,Grassland,Vegetated/Grassland,3/9/21,21,39,18,6/25/21,6/25/21,1,108,11/15/21,251,108,,0,,0,1,0.228,0.5,,,
A,2,A2,7,A2_07,PAR-O,PAR,Vegetated,Grassland,Vegetated/Grassland,2/27/21,23.48,,-23.48,3/29/21,3/29/21,1,30,11/15/21,261,30,,0,,0,1,0.228,0.3,,,
B,1,B1,2,B1_02,PAR-O,PAR,Vegetated,Grassland,Vegetated/Grassland,2/27/21,22.33,16,-6.33,5/28/21,5/28/21,1,90,11/15/21,261,90,,0,,0,1,0.228,0.3,,,
C,3,C3,15,C3_15,PAR-O,PAR,Vegetated,Grassland,Vegetated/Grassland,2/27/21,21.95,,-21.95,5/16/21,5/16/21,1,78,11/15/21,261,78,,0,,0,1,0.228,0.3,,,
D,3,D3,9,D3_09,PAR-O,PAR,Vegetated,Grassland,Vegetated/Grassland,2/27/21,21.55,14,-7.55,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.228,0.3,,,
E,2,E2,1,E2_01,PAR-O,PAR,Vegetated,Grassland,Vegetated/Grassland,3/16/21,28,27,-1,,7/2/21,1,108,11/15/21,244,108,7/2/21,1,7/2/21,1,0,0.228,0.3,11.7,0.099,9/28/21
F,2,F2,1,F2_01,PAR-O,PAR,Vegetated,Grassland,Vegetated/Grassland,3/1/21,25,34,9,,9/24/21,1,207,11/15/21,259,207,9/24/21,1,9/24/21,1,0,0.228,0.3,19.2,0.441,9/27/21
G,3,G3,13,G3_13,PAR-O,PAR,Vegetated,Grassland,Vegetated/Grassland,2/27/21,11.87,18,6.13,6/25/21,6/25/21,1,118,11/15/21,261,118,,0,,0,1,0.228,0.3,,,
H,2,H2,6,H2_06,PAR-O,PAR,Vegetated,Grassland,Vegetated/Grassland,2/27/21,16.31,20,3.69,6/4/21,6/4/21,1,97,11/15/21,261,97,,0,,0,1,0.228,0.3,,,
I,5,I5,8,I5_08,PAR-O,PAR,Vegetated,Grassland,Vegetated/Grassland,2/27/21,12.58,14,1.42,6/25/21,6/25/21,1,118,11/15/21,261,118,,0,,0,1,0.228,0.3,,,
J,3,J3,15,J3_15,PAR-O,PAR,Vegetated,Grassland,Vegetated/Grassland,2/27/21,11.42,37,25.58,,9/24/21,1,209,11/15/21,261,209,9/24/21,1,9/24/21,1,0,0.228,0.3,22,0.709,9/28/21
A,2,A2,12,A2_12,PEN-O,PEN,Vegetated,Grassland,Vegetated/Grassland,2/27/21,13.68,21,7.32,8/12/21,8/12/21,1,166,11/15/21,261,166,8/12/21,1,,0,1,0.228,0.2,5.4,0.071,9/7/21
B,1,B1,16,B1_16,PEN-O,PEN,Vegetated,Grassland,Vegetated/Grassland,2/27/21,10.55,16,5.45,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.228,0.2,,,
C,3,C3,16,C3_16,PEN-O,PEN,Vegetated,Grassland,Vegetated/Grassland,2/27/21,19.75,12,-7.75,,11/3/21,1,249,11/15/21,261,249,11/3/21,1,11/3/21,1,0,0.228,0.2,4.1,0.072,12/1/21
D,3,D3,15,D3_15,PEN-O,PEN,Vegetated,Grassland,Vegetated/Grassland,2/27/21,8.61,15,6.39,7/9/21,7/9/21,1,132,11/15/21,261,132,7/9/21,1,,0,1,0.228,0.2,1.8,0.013,9/8/21
E,2,E2,3,E2_03,PEN-O,PEN,Vegetated,Grassland,Vegetated/Grassland,3/9/21,14,28,14,5/28/21,5/28/21,1,80,11/15/21,251,80,,0,,0,1,0.228,0.2,,,
F,2,F2,8,F2_08,PEN-O,PEN,Vegetated,Grassland,Vegetated/Grassland,3/9/21,19,23,4,7/23/21,7/23/21,1,136,11/15/21,251,136,7/23/21,1,,0,1,0.228,0.2,5.3,0.103,9/7/21
G,3,G3,12,G3_12,PEN-O,PEN,Vegetated,Grassland,Vegetated/Grassland,2/27/21,13.5,12,-1.5,6/25/21,6/25/21,1,118,11/15/21,261,118,,0,,0,1,0.228,0.2,,,
H,2,H2,5,H2_05,PEN-O,PEN,Vegetated,Grassland,Vegetated/Grassland,3/16/21,13,16,3,6/18/21,6/18/21,1,94,11/15/21,244,94,,0,,0,1,0.228,0.2,,,
I,5,I5,12,I5_12,PEN-O,PEN,Vegetated,Grassland,Vegetated/Grassland,2/27/21,6.75,15,8.25,7/16/21,7/16/21,1,139,11/15/21,261,139,7/16/21,1,,0,1,0.228,0.2,1.4,0.004,9/28/21
J,3,J3,9,J3_09,PEN-O,PEN,Vegetated,Grassland,Vegetated/Grassland,3/1/21,15,33,18,,9/24/21,1,207,11/15/21,259,207,9/24/21,1,9/24/21,1,0,0.228,0.2,11.7,0.214,9/27/21
A,2,A2,8,A2_08,SSJ-O,SSJ,Vegetated,Grassland,Vegetated/Grassland,2/27/21,19.44,16,-3.44,7/2/21,7/2/21,1,125,11/15/21,261,125,,0,6/25/21,1,0,0.228,0.1,,,
B,1,B1,5,B1_05,SSJ-O,SSJ,Vegetated,Grassland,Vegetated/Grassland,2/27/21,15.68,23,7.32,6/18/21,6/18/21,1,111,11/15/21,261,111,,0,,0,1,0.228,0.1,,,
C,3,C3,4,C3_04,SSJ-O,SSJ,Vegetated,Grassland,Vegetated/Grassland,2/27/21,18.49,7,-11.49,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.228,0.1,,,
D,3,D3,2,D3_02,SSJ-O,SSJ,Vegetated,Grassland,Vegetated/Grassland,2/27/21,20.19,21,0.81,6/11/21,6/11/21,1,104,11/15/21,261,104,,0,,0,1,0.228,0.1,,,
E,2,E2,8,E2_08,SSJ-O,SSJ,Vegetated,Grassland,Vegetated/Grassland,3/16/21,23,19,-4,6/11/21,6/11/21,1,87,11/15/21,244,87,,0,,0,1,0.228,0.1,,,
F,2,F2,6,F2_06,SSJ-O,SSJ,Vegetated,Grassland,Vegetated/Grassland,2/27/21,18.43,,-18.43,5/21/21,5/21/21,1,83,11/15/21,261,83,,0,,0,1,0.228,0.1,,,
G,3,G3,5,G3_05,SSJ-O,SSJ,Vegetated,Grassland,Vegetated/Grassland,2/27/21,20.47,15,-5.47,6/4/21,6/4/21,1,97,11/15/21,261,97,,0,,0,1,0.228,0.1,,,
H,2,H2,11,H2_11,SSJ-O,SSJ,Vegetated,Grassland,Vegetated/Grassland,2/27/21,15.09,25,9.91,7/9/21,7/9/21,1,132,11/15/21,261,132,7/9/21,1,,0,1,0.228,0.1,3.9,0.123,9/7/21
I,5,I5,7,I5_07,SSJ-O,SSJ,Vegetated,Grassland,Vegetated/Grassland,2/27/21,20.55,24,3.45,6/25/21,6/25/21,1,118,11/15/21,261,118,,0,,0,1,0.228,0.1,,,
J,3,J3,1,J3_01,SSJ-O,SSJ,Vegetated,Grassland,Vegetated/Grassland,2/27/21,19.01,37,17.99,7/9/21,7/9/21,1,132,11/15/21,261,132,7/9/21,1,,0,1,0.228,0.1,3.4,0.06,9/28/21