Plant_ID,Plot,Row,Column,Position,Treatment,PlantDate(L),Planting Person(L),LeftMeasure (mm),PlantDate(R),Planting Person(R),RightMeasure (mm),%: 4/15/22,PER: 4/15/22,%: 4/21/22,PER: 4/21/22,PER: 4/29/22,PER: 5/6/22,PER: 5/13/22,PER: 5/20/22,PER: 5/27/22,PER: 6/2/22,Mortality Date (L),Mortality Date (R),CensorAll,DaysMort,Census,DaysCensus,NumDaysAlive
1,K,A,1,A1,Trim,3/21/22,Miranda and Rachael,12,3/21/22,Miranda and Rachael,11,10.4,1.264,15.6,1.345,1.208,1.119,,,,,5/6/22,5/13/22,1,,,,
2,K,A,2,A2,Dig,3/21/22,Miranda and Rachael,12,3/21/22,Miranda and Rachael,10,10.6,1.268,19.6,1.406,1.215,1.148,,,,,5/13/22,5/13/22,1,,,,
3,K,A,3,A3,Control,3/21/22,Miranda and Rachael,11,3/21/22,Miranda and Rachael,11,9.4,1.248,10.2,1.261,1.142,,,,,,5/6/22,4/15/22,1,,,,
4,K,A,4,A4,Control,3/21/22,Miranda and Rachael,15,3/21/22,Miranda and Rachael,15,11.9,1.289,14.2,1.324,1.18,1.147,,,,,5/13/22,5/6/22,1,,,,
5,K,A,5,A5,Trim,3/21/22,Miranda and Rachael,17,3/21/22,Miranda and Rachael,11,14.3,1.326,20.6,1.421,1.218,1.176,1.148,,,,5/13/22,5/20/22,1,,,,
6,K,A,6,A6,Dig,3/21/22,Miranda and Rachael,12,3/21/22,Miranda and Rachael,10,10,1.258,17.2,1.369,1.173,1.137,,,,,5/13/22,5/6/22,1,,,,
7,K,A,7,A7,Trim,3/25/22,Emma Snyder,7,3/21/22,Miranda and Rachael,9,12.3,1.295,16,1.352,1.248,,,,,,4/15/22,5/6/22,1,,,,
8,K,A,8,A8,Dig,3/21/22,Miranda and Rachael,11,3/25/22,Emma Snyder,7,7.8,1.219,16.6,1.369,1.154,1.146,,,,,5/13/22,5/13/22,1,,,,
9,K,A,9,A9,Control,3/21/22,Miranda and Rachael,7,3/21/22,Miranda and Rachael,11,10.9,1.274,13.6,1.314,1.218,1.164,1.153,,,,5/20/22,5/20/22,1,,,,
10,K,B,1,B1,Control,3/21/22,Miranda and Rachael,9,3/21/22,Miranda and Rachael,19,10.5,1.266,,,,,,,,,4/15/22,4/15/22,1,,,,
11,K,B,2,B2,Trim,3/21/22,Miranda and Rachael,14,3/25/22,Emma Snyder,8,12.9,1.305,15,1.337,1.177,1.169,,,,,5/6/22,5/13/22,1,,,,
12,K,B,3,B3,Dig,3/21/22,Miranda and Rachael,7,3/21/22,Miranda and Rachael,11,8.6,1.235,10.9,1.273,1.165,1.128,1.123,1.101,1.089,1.077,5/13/22,6/9/22,1,,,,
13,K,B,4,B4,Dig,3/21/22,Miranda and Rachael,17,3/21/22,Miranda and Rachael,14,10.5,1.267,16.9,1.366,1.181,1.137,1.127,,,,5/20/22,5/20/22,1,,,,
14,K,B,5,B5,Trim,3/21/22,Miranda and Rachael,15,3/21/22,Miranda and Rachael,18,10,1.258,17.5,1.374,1.213,1.148,1.148,,,,5/20/22,5/20/22,1,,,,
15,K,B,6,B6,Control,3/21/22,Miranda and Rachael,11,3/21/22,Miranda and Rachael,9,10.9,1.274,13.6,1.314,1.186,1.134,1.13,,,,5/6/22,5/20/22,1,,,,
16,K,B,7,B7,Dig,3/21/22,Miranda and Rachael,11,3/21/22,Miranda and Rachael,12,10.1,1.259,16.7,1.362,1.18,1.14,1.132,,,,5/20/22,5/20/22,1,,,,
17,K,B,8,B8,Control,3/21/22,Miranda and Rachael,12,3/21/22,Miranda and Rachael,14,11.5,1.282,13.5,1.313,,,,,,,4/15/22,5/6/22,1,,,,
18,K,B,9,B9,Trim,3/25/22,Miranda Melen,8,3/21/22,Miranda and Rachael,7,10,1.258,,,1.2,,,,,,4/15/22,5/6/22,1,,,,
19,K,C,1,C1,Trim,3/21/22,Miranda and Rachael,15,3/21/22,Miranda and Rachael,8,11.9,1.284,13.2,1.308,1.18,1.194,1.136,,,,5/13/22,5/20/22,1,,,,
20,K,C,2,C2,Dig,3/21/22,Miranda and Rachael,13,3/21/22,Miranda and Rachael,10,9.2,1.244,17.4,1.373,1.204,1.143,1.137,,,,5/20/22,5/20/22,1,,,,
21,K,C,3,C3,Control,3/21/22,Miranda and Rachael,9,3/21/22,Miranda and Rachael,5,11.3,1.278,11.8,1.287,1.183,1.149,,,,,4/15/22,5/13/22,1,,,,
22,K,C,4,C4,Trim,3/21/22,Miranda and Rachael,19,3/21/22,Miranda and Rachael,14,12.5,1.298,16.2,1.354,1.178,1.138,1.169,,,,5/20/22,5/20/22,1,,,,
23,K,C,5,C5,Control,3/21/22,Miranda and Rachael,10,3/21/22,Miranda and Rachael,10,8.7,1.237,13.2,1.309,1.164,1.132,1.134,,,,5/20/22,5/6/22,1,,,,
24,K,C,6,C6,Dig,3/21/22,Miranda and Rachael,14,3/21/22,Miranda and Rachael,9,11.6,1.285,16.4,1.357,1.154,1.145,1.136,,,,5/20/22,5/20/22,1,,,,
25,K,C,7,C7,Dig,3/21/22,Miranda and Rachael,12,4/1/22,Emma Snyder,8,8.2,1.227,12.8,1.302,1.155,1.123,1.109,,,,5/20/22,4/7/22,1,,,,
26,K,C,8,C8,Control,3/21/22,Miranda and Rachael,9,3/21/22,Miranda and Rachael,11,13.6,1.314,18.6,1.39,1.223,1.166,1.144,,,,5/20/22,5/13/22,1,,,,
27,K,C,9,C9,Trim,3/21/22,Miranda and Rachael,8,3/21/22,Miranda and Rachael,7,10.8,1.272,19.1,1.398,1.203,1.18,1.155,,,,5/13/22,5/20/22,1,,,,
28,K,D,1,D1,Dig,3/21/22,Miranda and Rachael,17,3/21/22,Miranda and Rachael,11,8,1.225,17.2,1.369,1.188,1.138,1.139,,,,5/20/22,5/20/22,1,,,,
29,K,D,2,D2,Control,3/25/22,Emma Snyder,9,3/21/22,Miranda and Rachael,7,11.3,1.278,18.7,1.391,1.198,1.189,1.148,,,,4/7/22,5/20/22,1,,,,
30,K,D,3,D3,Trim,3/21/22,Miranda and Rachael,9,3/21/22,Miranda and Rachael,6,12.1,1.291,12.7,1.299,1.223,1.128,1.176,1.099,,,5/27/22,5/6/22,1,,,,
31,K,D,4,D4,Trim,4/1/22,Emma Snyder,10,3/21/22,Miranda and Rachael,9,10.4,1.265,16.4,1.357,1.185,1.125,,,,,4/7/22,5/13/22,1,,,,
32,K,D,5,D5,Dig,3/21/22,Miranda and Rachael,8,3/21/22,Miranda and Rachael,10,9.9,1.257,16.2,1.355,1.173,1.12,1.128,1.099,,,5/20/22,5/27/22,1,,,,
33,K,D,6,D6,Control,3/21/22,Miranda and Rachael,11,3/21/22,Miranda and Rachael,11,12.5,1.299,15.2,1.338,1.211,1.159,,,,,4/15/22,5/13/22,1,,,,
34,K,D,7,D7,Control,4/1/22,Emma Snyder,5,3/21/22,Miranda and Rachael,15,9.9,1.257,15.6,1.345,1.191,1.151,,,,,4/7/22,5/13/22,1,,,,
35,K,D,8,D8,Dig,3/21/22,Miranda and Rachael,14,3/21/22,Miranda and Rachael,14,10.8,1.27,20.3,1.416,1.174,1.145,1.118,,,,5/20/22,5/20/22,1,,,,
36,K,D,9,D9,Trim,3/25/22,Emma Snyder,7,3/21/22,Miranda and Rachael,13,11.3,1.279,16.7,1.362,1.203,1.154,,,,,4/7/22,5/13/22,1,,,,
37,K,E,1,E1,Dig,3/21/22,Miranda and Rachael,4,3/21/22,Miranda and Rachael,6,9.8,1.256,16.2,1.355,1.178,1.134,1.128,1.109,,,5/20/22,5/27/22,1,,,,
38,K,E,2,E2,Control,3/21/22,Miranda and Rachael,7,3/21/22,Miranda and Rachael,8,10.1,1.259,15.9,1.351,1.188,1.156,1.131,,,,5/20/22,5/13/22,1,,,,
39,K,E,3,E3,Trim,3/21/22,Miranda and Rachael,9,3/25/22,Emma Snyder,7,11.5,1.283,16.9,1.365,1.196,1.145,,,,,5/13/22,4/15/22,1,,,,
40,K,E,4,E4,Dig,3/21/22,Miranda and Rachael,8,3/25/22,Emma Snyder,9,8.7,1.237,18.1,1.385,1.172,1.128,,,,,5/13/22,5/13/22,1,,,,
41,K,E,5,E5,Control,4/1/22,Emma Snyder,7,3/21/22,Miranda and Rachael,12,9.1,1.242,13.9,1.319,1.157,1.145,,,,,4/7/22,5/13/22,1,,,,
42,K,E,6,E6,Trim,3/21/22,Miranda and Rachael,10,3/21/22,Miranda and Rachael,11,9.9,1.257,17.9,1.381,1.198,1.148,,,,,5/13/22,5/13/22,1,,,,
43,K,E,7,E7,Dig,3/21/22,Miranda and Rachael,18,3/21/22,Miranda and Rachael,18,10.6,1.268,13.9,1.32,1.192,1.171,1.131,,,,5/20/22,5/13/22,1,,,,
44,K,E,8,E8,Trim,3/25/22,Emma Snyder,6,3/21/22,Miranda and Rachael,12,13.2,1.309,15.6,1.345,1.203,1.159,,,,,5/20/22,5/20/22,1,,,,
45,K,E,9,E9,Control,3/25/22,Emma Snyder,5,3/25/22,Emma Snyder,5,10.8,1.27,,,,,,,,,4/7/22,4/15/22,1,,,,
46,K,F,1,F1,Control,3/21/22,Miranda and Rachael,15,3/21/22,Miranda and Rachael,9,10.3,1.262,17.2,1.369,1.183,1.186,,,,,4/15/22,5/20/22,1,,,,
47,K,F,2,F2,Dig,3/21/22,Miranda and Rachael,17,3/21/22,Miranda and Rachael,13,9.5,1.25,18.5,1.389,1.182,1.148,,,,,5/20/22,5/20/22,1,,,,
48,K,F,3,F3,Trim,3/21/22,Miranda and Rachael,7,3/21/22,Miranda and Rachael,9,13.1,1.308,14.4,1.327,1.162,1.152,,,,,5/6/22,5/20/22,1,,,,
49,K,F,4,F4,Control,3/25/22,Emma Snyder,6,3/21/22,Miranda and Rachael,10,10.9,1.273,,,,,,,,,4/7/22,4/15/22,1,,,,
50,K,F,5,F5,Trim,3/21/22,Miranda and Rachael,11,3/21/22,Miranda and Rachael,11,10.9,1.222,12.9,1.303,1.108,1.153,,,,,4/15/22,5/20/22,1,,,,
51,K,F,6,F6,Dig,3/21/22,Miranda and Rachael,10,3/21/22,Miranda and Rachael,9,8.2,1.229,14,1.322,1.169,1.113,,,,,4/7/22,5/20/22,1,,,,
52,K,F,7,F7,Trim,3/21/22,Miranda and Rachael,15,3/21/22,Miranda and Rachael,14,9.6,1.25,19.1,1.397,1.218,1.168,,,,,5/20/22,5/20/22,1,,,,
53,K,F,8,F8,Dig,3/21/22,Miranda and Rachael,15,3/21/22,Miranda and Rachael,17,10.7,1.27,23.1,1.458,1.189,1.157,,1.111,,,5/27/22,5/20/22,1,,,,
54,K,F,9,F9,Control,3/21/22,Miranda and Rachael,12,3/21/22,Miranda and Rachael,14,10.4,1.265,15.9,1.349,1.176,1.153,,,,,5/20/22,4/15/22,1,,,,