Pot ID,Block,Soil,Competition,Population,Site,Habitat,Biomass_date,Dittrichia_biomass,Grass_biomass,MeasurementDate_2,MeasurementDate_3,GrassHeight_cm_2,GrassHeight_cm_3,GrassGrowth,DittrichiaLLL_mm_2,DittrichiaLLL_mm_3,DittrichiaGrowth
1,1,Construction Soil,None,BAY-V,BAY,Vegetated,12/16/22,0.0015,,9/14/21,10/15/21,,,0,5.54,5.67,0.13
2,2,Construction Soil,None,BAY-V,BAY,Vegetated,12/9/22,0.0021,,9/15/21,10/16/21,,,0,7.58,6.09,-1.49
3,3,Construction Soil,None,BAY-V,BAY,Vegetated,12/13/22,0.0056,,9/15/21,10/16/21,,,0,10.42,13.34,2.92
4,4,Construction Soil,None,BAY-V,BAY,Vegetated,12/13/22,0.0073,,9/16/21,10/16/21,,,0,12.82,11.59,-1.23
5,5,Construction Soil,None,BAY-V,BAY,Vegetated,12/15/22,0.0065,,9/16/21,10/16/21,,,0,7.25,8.63,1.38
6,6,Construction Soil,None,BAY-V,BAY,Vegetated,12/12/22,0.0034,,9/16/21,10/17/21,,,0,7.1,6.96,-0.14
7,7,Construction Soil,None,BAY-V,BAY,Vegetated,12/14/22,0.0019,,9/16/21,10/17/21,,,0,11.05,5.84,-5.21
8,8,Construction Soil,None,BAY-V,BAY,Vegetated,12/11/22,0.005,,9/16/21,10/17/21,,,0,11.59,9.36,-2.23
9,1,Construction Soil,None,BAY-R,BAY,Roadside,12/16/22,0.0033,,9/14/21,10/15/21,,,0,8.73,7.53,-1.2
10,2,Construction Soil,None,BAY-R,BAY,Roadside,12/9/22,0.002,,9/15/21,10/16/21,,,0,11.55,6.19,-5.36
11,3,Construction Soil,None,BAY-R,BAY,Roadside,12/13/22,0.0036,,9/15/21,10/16/21,,,0,8.32,9.14,0.82
12,4,Construction Soil,None,BAY-R,BAY,Roadside,12/13/22,0.0007,,9/16/21,10/16/21,,,0,2.85,2.76,-0.09
13,5,Construction Soil,None,BAY-R,BAY,Roadside,12/11/22,0.0024,,9/16/21,10/16/21,,,0,7.32,5.14,-2.18
14,6,Construction Soil,None,BAY-R,BAY,Roadside,12/11/22,0.0051,,9/16/21,10/17/21,,,0,7.37,11.74,4.37
15,7,Construction Soil,None,BAY-R,BAY,Roadside,12/14/22,0.0045,,9/16/21,10/17/21,,,0,6.48,9.66,3.18
16,8,Construction Soil,None,BAY-R,BAY,Roadside,12/11/22,0.0017,,9/16/21,10/17/21,,,0,6.17,6.89,0.72
17,1,Construction Soil,None,CHE-V,CHE,Vegetated,12/16/22,0.0021,,9/14/21,10/15/21,,,0,8.59,6.47,-2.12
18,2,Construction Soil,None,CHE-V,CHE,Vegetated,12/9/22,0.001,,9/15/21,10/16/21,,,0,4.69,5.32,0.63
19,3,Construction Soil,None,CHE-V,CHE,Vegetated,12/13/22,0.0009,,9/15/21,10/16/21,,,0,5.06,4.22,-0.84
20,4,Construction Soil,None,CHE-V,CHE,Vegetated,12/12/22,0.0009,,9/16/21,10/16/21,,,0,3.65,4.23,0.58
21,5,Construction Soil,None,CHE-V,CHE,Vegetated,12/11/22,0.0007,,9/16/21,10/16/21,,,0,3.65,3.67,0.02
22,6,Construction Soil,None,CHE-V,CHE,Vegetated,12/12/22,0.0012,,9/16/21,10/17/21,,,0,3.34,4.21,0.87
23,7,Construction Soil,None,CHE-V,CHE,Vegetated,12/14/22,0.0008,,9/16/21,10/17/21,,,0,3.91,2.94,-0.97
24,8,Construction Soil,None,CHE-V,CHE,Vegetated,12/14/22,0.0027,,9/16/21,10/17/21,,,0,7.61,7.07,-0.54
25,1,Construction Soil,None,CHE-R,CHE,Roadside,12/15/22,0.0018,,9/15/21,10/15/21,,,0,6.52,5.65,-0.87
26,2,Construction Soil,None,CHE-R,CHE,Roadside,12/9/22,0.0041,,9/15/21,10/16/21,,,0,8.97,8.96,-0.01
27,3,Construction Soil,None,CHE-R,CHE,Roadside,12/13/22,0.0027,,9/15/21,10/16/21,,,0,7.57,6.21,-1.36
28,4,Construction Soil,None,CHE-R,CHE,Roadside,12/13/22,0.0013,,9/16/21,10/16/21,,,0,6.35,7.04,0.69
29,5,Construction Soil,None,CHE-R,CHE,Roadside,12/15/22,0.0015,,9/16/21,10/16/21,,,0,5.42,5.84,0.42
30,6,Construction Soil,None,CHE-R,CHE,Roadside,12/12/22,0.0016,,9/16/21,10/17/21,,,0,6.08,5.8,-0.28
31,7,Construction Soil,None,CHE-R,CHE,Roadside,12/14/22,0.0013,,9/16/21,10/17/21,,,0,4.62,3.85,-0.77
32,8,Construction Soil,None,CHE-R,CHE,Roadside,12/11/22,0.0012,,9/16/21,10/17/21,,,0,5.81,3.98,-1.83
33,1,Construction Soil,None,GUA-V,GUA,Vegetated,12/16/22,0.0032,,9/15/21,10/15/21,,,0,10.82,8.48,-2.34
34,2,Construction Soil,None,GUA-V,GUA,Vegetated,12/10/22,0.002,,9/15/21,10/15/21,,,0,5.55,7.95,2.4
35,3,Construction Soil,None,GUA-V,GUA,Vegetated,12/13/22,0.0026,,9/15/21,10/16/21,,,0,7.65,8.58,0.93
36,4,Construction Soil,None,GUA-V,GUA,Vegetated,12/12/22,0.0026,,9/16/21,10/16/21,,,0,5.39,5.96,0.57
37,5,Construction Soil,None,GUA-V,GUA,Vegetated,12/15/22,0.0011,,9/16/21,10/16/21,,,0,4.79,4.8,0.01
38,6,Construction Soil,None,GUA-V,GUA,Vegetated,12/11/22,0.0014,,9/16/21,10/17/21,,,0,5.55,6.49,0.94
39,7,Construction Soil,None,GUA-V,GUA,Vegetated,12/14/22,0.0016,,9/16/21,10/17/21,,,0,8.59,6.93,-1.66
40,8,Construction Soil,None,GUA-V,GUA,Vegetated,12/14/22,0.0044,,9/16/21,10/17/21,,,0,5.93,6.57,0.64
41,1,Construction Soil,None,GUA-R,GUA,Roadside,12/15/22,0.0016,,9/15/21,10/15/21,,,0,2.17,2.24,0.07
42,2,Construction Soil,None,GUA-R,GUA,Roadside,12/10/22,0.001,,9/15/21,10/15/21,,,0,4.24,5.91,1.67
43,3,Construction Soil,None,GUA-R,GUA,Roadside,12/13/22,0.0016,,9/15/21,10/16/21,,,0,4.19,4.91,0.72
44,4,Construction Soil,None,GUA-R,GUA,Roadside,12/12/22,0.002,,9/16/21,10/16/21,,,0,8.58,8.02,-0.56
45,5,Construction Soil,None,GUA-R,GUA,Roadside,12/15/22,0.0008,,9/16/21,10/16/21,,,0,5.16,4.62,-0.54
46,6,Construction Soil,None,GUA-R,GUA,Roadside,12/12/22,0.0012,,9/16/21,10/17/21,,,0,6.19,4.79,-1.4
47,7,Construction Soil,None,GUA-R,GUA,Roadside,12/14/22,0.0031,,9/16/21,10/17/21,,,0,6.12,7.09,0.97
48,8,Construction Soil,None,GUA-R,GUA,Roadside,12/11/22,0.0016,,9/16/21,10/17/21,,,0,6.57,5.34,-1.23
49,1,Construction Soil,None,LEX-V,LEX,Vegetated,12/16/22,0.0013,,9/14/21,10/15/21,,,0,3.82,4.69,0.87
50,2,Construction Soil,None,LEX-V,LEX,Vegetated,12/10/22,0.0042,,9/15/21,10/15/21,,,0,4.7,6.11,1.41
51,3,Construction Soil,None,LEX-V,LEX,Vegetated,12/13/22,0.0019,,9/15/21,10/16/21,,,0,6.23,5.11,-1.12
52,4,Construction Soil,None,LEX-V,LEX,Vegetated,12/12/22,0.0031,,9/16/21,10/16/21,,,0,7.08,6.83,-0.25
53,5,Construction Soil,None,LEX-V,LEX,Vegetated,12/15/22,0.0014,,9/16/21,10/16/21,,,0,5.37,5.12,-0.25
54,6,Construction Soil,None,LEX-V,LEX,Vegetated,12/12/22,0.0021,,9/16/21,10/17/21,,,0,5.55,5.71,0.16
55,7,Construction Soil,None,LEX-V,LEX,Vegetated,12/14/22,0.0021,,9/16/21,10/17/21,,,0,4.19,8.48,4.29
56,8,Construction Soil,None,LEX-V,LEX,Vegetated,12/14/22,0.006,,9/16/21,10/17/21,,,0,9.11,14.75,5.64
57,1,Construction Soil,None,LEX-R,LEX,Roadside,12/16/22,0.0006,,9/14/21,10/15/21,,,0,3.11,2.91,-0.2
58,2,Construction Soil,None,LEX-R,LEX,Roadside,12/9/22,0.0019,,9/15/21,10/16/21,,,0,6.14,7.53,1.39
59,3,Construction Soil,None,LEX-R,LEX,Roadside,12/13/22,0.0023,0.0186,9/15/21,10/16/21,,,0,6.87,6.1,-0.77
60,4,Construction Soil,None,LEX-R,LEX,Roadside,12/13/22,0.0027,,9/16/21,10/16/21,,,0,6.94,5.07,-1.87
61,5,Construction Soil,None,LEX-R,LEX,Roadside,12/11/22,0.0027,,9/16/21,10/16/21,,,0,4.62,5.07,0.45
62,6,Construction Soil,None,LEX-R,LEX,Roadside,12/11/22,0.0029,,9/16/21,10/17/21,,,0,2.89,3.52,0.63
63,7,Construction Soil,None,LEX-R,LEX,Roadside,12/14/22,0.0014,,9/16/21,10/17/21,,,0,9.63,5.84,-3.79
64,8,Construction Soil,None,LEX-R,LEX,Roadside,12/14/22,0.0027,,9/16/21,10/17/21,,,0,7.56,7.16,-0.4
65,1,Construction Soil,None,OAP-V,OAP,Vegetated,12/15/22,0.0028,,9/15/21,10/15/21,,,0,6.25,4.93,-1.32
66,2,Construction Soil,None,OAP-V,OAP,Vegetated,12/9/22,0.0021,,9/15/21,10/16/21,,,0,6.62,4.76,-1.86
67,3,Construction Soil,None,OAP-V,OAP,Vegetated,12/13/22,0.0017,,9/15/21,10/16/21,,,0,5.27,5.27,0
68,4,Construction Soil,None,OAP-V,OAP,Vegetated,12/12/22,0.0011,,9/16/21,10/16/21,,,0,4.65,4.83,0.18
69,5,Construction Soil,None,OAP-V,OAP,Vegetated,12/15/22,0.0013,,9/16/21,10/16/21,,,0,4.69,3.2,-1.49
70,6,Construction Soil,None,OAP-V,OAP,Vegetated,12/11/22,0.0006,,9/16/21,10/17/21,,,0,3.91,5.23,1.32
71,7,Construction Soil,None,OAP-V,OAP,Vegetated,12/14/22,0.0012,,9/16/21,10/17/21,,,0,4.71,4.94,0.23
72,8,Construction Soil,None,OAP-V,OAP,Vegetated,12/14/22,0.0024,,9/16/21,10/17/21,,,0,9.98,10.19,0.21
73,1,Construction Soil,None,OAP-R,OAP,Roadside,12/15/22,0.0019,,9/15/21,10/15/21,,,0,6.85,7.9,1.05
74,2,Construction Soil,None,OAP-R,OAP,Roadside,12/10/22,0.0027,,9/15/21,10/15/21,,,0,6.78,6.3,-0.48
75,3,Construction Soil,None,OAP-R,OAP,Roadside,12/13/22,0.00016,,9/15/21,10/16/21,,,0,3.36,4.35,0.99
76,4,Construction Soil,None,OAP-R,OAP,Roadside,12/12/22,0.0006,,9/16/21,10/16/21,,,0,3.41,3.83,0.42
77,5,Construction Soil,None,OAP-R,OAP,Roadside,12/15/22,0.0032,,9/16/21,10/16/21,,,0,7.43,10.2,2.77
78,6,Construction Soil,None,OAP-R,OAP,Roadside,12/11/22,0.0019,,9/16/21,10/17/21,,,0,4.1,3.52,-0.58
79,7,Construction Soil,None,OAP-R,OAP,Roadside,12/14/22,0.0014,,9/16/21,10/17/21,,,0,4.23,3.95,-0.28
80,8,Construction Soil,None,OAP-R,OAP,Roadside,12/11/22,0.0012,,9/16/21,10/17/21,,,0,7.65,5.72,-1.93
81,1,Construction Soil,None,PAR-V,PAR,Vegetated,12/15/22,0.0015,,9/15/21,10/15/21,,,0,9.51,5.86,-3.65
82,2,Construction Soil,None,PAR-V,PAR,Vegetated,12/9/22,0.0003,,9/15/21,10/16/21,,,0,2.77,2.5,-0.27
83,3,Construction Soil,None,PAR-V,PAR,Vegetated,12/13/22,0.002,,9/15/21,10/16/21,,,0,6.02,4.76,-1.26
84,4,Construction Soil,None,PAR-V,PAR,Vegetated,12/13/22,0.0021,,9/16/21,10/16/21,,,0,7.32,6.34,-0.98
85,5,Construction Soil,None,PAR-V,PAR,Vegetated,12/15/22,0.0021,,9/16/21,10/16/21,,,0,6.62,6.81,0.19
86,6,Construction Soil,None,PAR-V,PAR,Vegetated,12/11/22,0.0019,,9/16/21,10/17/21,,,0,6.03,6.6,0.57
87,7,Construction Soil,None,PAR-V,PAR,Vegetated,12/14/22,0.002,,9/16/21,10/17/21,,,0,4.21,3.49,-0.72
88,8,Construction Soil,None,PAR-V,PAR,Vegetated,12/11/22,0.0018,,9/16/21,10/17/21,,,0,6.95,4.87,-2.08
89,1,Construction Soil,None,PAR-R,PAR,Roadside,12/16/22,0.0037,,9/14/21,10/15/21,,,0,8.51,7.46,-1.05
90,2,Construction Soil,None,PAR-R,PAR,Roadside,12/9/22,0.0043,,9/15/21,10/16/21,,,0,9.37,6.97,-2.4
91,3,Construction Soil,None,PAR-R,PAR,Roadside,12/13/22,0.0023,,9/15/21,10/16/21,,,0,6.82,5.2,-1.62
92,4,Construction Soil,None,PAR-R,PAR,Roadside,12/12/22,0.0024,,9/16/21,10/16/21,,,0,5.88,8.16,2.28
93,5,Construction Soil,None,PAR-R,PAR,Roadside,12/11/22,0.0022,,9/16/21,10/16/21,,,0,5.7,5.14,-0.56
94,6,Construction Soil,None,PAR-R,PAR,Roadside,12/11/22,0.0026,,9/16/21,10/17/21,,,0,4.34,3.54,-0.8
95,7,Construction Soil,None,PAR-R,PAR,Roadside,12/14/22,0.0011,,9/16/21,10/17/21,,,0,4.63,4.22,-0.41
96,8,Construction Soil,None,PAR-R,PAR,Roadside,12/14/22,0.0018,,9/16/21,10/17/21,,,0,2.7,3.46,0.76
97,1,Construction Soil,None,PEN-V,PEN,Vegetated,12/16/22,0.0024,,9/14/21,10/15/21,,,0,7.29,4.87,-2.42
98,2,Construction Soil,None,PEN-V,PEN,Vegetated,12/10/22,0.0037,,9/15/21,10/15/21,,,0,8.75,6.3,-2.45
99,3,Construction Soil,None,PEN-V,PEN,Vegetated,12/13/22,0.0031,,9/15/21,10/16/21,,,0,8.86,5.53,-3.33
100,4,Construction Soil,None,PEN-V,PEN,Vegetated,12/13/22,0.0018,,9/16/21,10/16/21,,,0,5.73,4.18,-1.55
101,5,Construction Soil,None,PEN-V,PEN,Vegetated,12/15/22,0.0032,,9/16/21,10/16/21,,,0,8.03,4.94,-3.09
102,6,Construction Soil,None,PEN-V,PEN,Vegetated,12/11/22,0.0023,,9/16/21,10/17/21,,,0,6.08,6.05,-0.03
103,7,Construction Soil,None,PEN-V,PEN,Vegetated,12/14/22,0.0008,,9/16/21,10/17/21,,,0,4,4.73,0.73
104,8,Construction Soil,None,PEN-V,PEN,Vegetated,12/14/22,0.0006,,9/16/21,10/17/21,,,0,5.59,4.23,-1.36
105,1,Construction Soil,None,PEN-R,PEN,Roadside,12/15/22,0.0066,,9/15/21,10/15/21,,,0,13.67,18.37,4.7
106,2,Construction Soil,None,PEN-R,PEN,Roadside,12/10/22,0.0012,,9/15/21,10/15/21,,,0,10.6,6.15,-4.45
107,3,Construction Soil,None,PEN-R,PEN,Roadside,12/13/22,0.0018,,9/15/21,10/16/21,,,0,9.81,5.65,-4.16
108,4,Construction Soil,None,PEN-R,PEN,Roadside,12/13/22,0.0016,,9/16/21,10/16/21,,,0,7.8,3.28,-4.52
109,5,Construction Soil,None,PEN-R,PEN,Roadside,12/15/22,0.0036,,9/16/21,10/16/21,,,0,7.71,7.05,-0.66
110,6,Construction Soil,None,PEN-R,PEN,Roadside,12/11/22,0.0006,,9/16/21,10/17/21,,,0,5.03,4.21,-0.82
111,7,Construction Soil,None,PEN-R,PEN,Roadside,12/14/22,0.002,,9/16/21,10/17/21,,,0,6.5,9.43,2.93
112,8,Construction Soil,None,PEN-R,PEN,Roadside,12/11/22,0.0018,,9/16/21,10/17/21,,,0,3.87,3.88,0.01
113,1,Construction Soil,None,SSJ-V,SSJ,Vegetated,12/16/22,0.0052,,9/14/21,10/15/21,,,0,8.26,8.84,0.58
114,2,Construction Soil,None,SSJ-V,SSJ,Vegetated,12/10/22,0.0018,,9/15/21,10/15/21,,,0,10.27,6.78,-3.49
115,3,Construction Soil,None,SSJ-V,SSJ,Vegetated,12/13/22,0.0024,,9/15/21,10/16/21,,,0,5.62,5.46,-0.16
116,4,Construction Soil,None,SSJ-V,SSJ,Vegetated,12/13/22,0.0029,,9/16/21,10/16/21,,,0,8.94,7.36,-1.58
117,5,Construction Soil,None,SSJ-V,SSJ,Vegetated,12/15/22,0.0025,,9/16/21,10/16/21,,,0,5.48,4.28,-1.2
118,6,Construction Soil,None,SSJ-V,SSJ,Vegetated,12/11/22,0.0008,,9/16/21,10/17/21,,,0,7.18,6.46,-0.72
119,7,Construction Soil,None,SSJ-V,SSJ,Vegetated,12/14/22,0.0014,,9/16/21,10/17/21,,,0,7.65,3.72,-3.93
120,8,Construction Soil,None,SSJ-V,SSJ,Vegetated,12/14/22,0.0008,,9/16/21,10/17/21,,,0,3.1,4.28,1.18
121,1,Construction Soil,None,SSJ-R,SSJ,Roadside,12/15/22,0.0094,,9/15/21,10/15/21,,,0,9.46,24.41,14.95
122,2,Construction Soil,None,SSJ-R,SSJ,Roadside,12/9/22,0.0033,,9/15/21,10/15/21,,,0,10.45,8.19,-2.26
123,3,Construction Soil,None,SSJ-R,SSJ,Roadside,12/13/22,0.0021,,9/15/21,10/16/21,,,0,6.2,6.92,0.72
124,4,Construction Soil,None,SSJ-R,SSJ,Roadside,12/9/22,0.0028,,9/16/21,10/16/21,,,0,6.68,7.27,0.59
125,5,Construction Soil,None,SSJ-R,SSJ,Roadside,12/15/22,0.0053,,9/16/21,10/16/21,,,0,7.43,15.63,8.2
126,6,Construction Soil,None,SSJ-R,SSJ,Roadside,12/11/22,0.0026,,9/16/21,10/17/21,,,0,6.94,5.18,-1.76
127,7,Construction Soil,None,SSJ-R,SSJ,Roadside,12/14/22,0.0018,,9/16/21,10/17/21,,,0,5.63,4.36,-1.27
128,8,Construction Soil,None,SSJ-R,SSJ,Roadside,12/11/22,0.004,,9/16/21,10/17/21,,,0,11.74,10.52,-1.22
129,1,Construction Soil,Festuca,BAY-V,BAY,Vegetated,12/16/22,0.0013,0.0673,9/14/21,10/15/21,19.3,19,-0.3,5.88,6.88,1
130,2,Construction Soil,Festuca,BAY-V,BAY,Vegetated,12/10/22,0.0017,0.0571,9/15/21,10/15/21,32.1,17.3,-14.8,4.95,8.99,4.04
131,3,Construction Soil,Festuca,BAY-V,BAY,Vegetated,12/13/22,0.0016,0.0689,9/15/21,10/16/21,24.1,25.5,1.4,4.64,7.18,2.54
132,4,Construction Soil,Festuca,BAY-V,BAY,Vegetated,12/12/22,0.0011,0.0694,9/16/21,10/16/21,27.1,27.1,0,4.57,5.9,1.33
133,5,Construction Soil,Festuca,BAY-V,BAY,Vegetated,12/15/22,0.0011,0.0626,9/16/21,10/16/21,18.1,17.6,-0.5,4.77,4.31,-0.46
134,6,Construction Soil,Festuca,BAY-V,BAY,Vegetated,12/11/22,0.0018,0.0731,9/16/21,10/17/21,34.5,34.7,0.2,3.16,4.3,1.14
135,7,Construction Soil,Festuca,BAY-V,BAY,Vegetated,12/14/22,0.0007,0.1084,9/16/21,10/17/21,46.6,47,0.4,3.2,3.47,0.27
136,8,Construction Soil,Festuca,BAY-V,BAY,Vegetated,12/11/22,0.0015,0.0777,9/16/21,10/17/21,41.6,41.5,-0.1,4.44,9.08,4.64
137,1,Construction Soil,Festuca,BAY-R,BAY,Roadside,12/16/22,0.001,0.1004,9/14/21,10/15/21,24.1,22.9,-1.2,4.84,3.88,-0.96
138,2,Construction Soil,Festuca,BAY-R,BAY,Roadside,12/9/22,0.0003,0.0971,9/15/21,10/16/21,26,31.2,5.2,5.3,5.96,0.66
139,3,Construction Soil,Festuca,BAY-R,BAY,Roadside,12/13/22,0.0009,0.0746,9/15/21,10/16/21,22.5,23.2,0.7,7.16,7.01,-0.15
140,4,Construction Soil,Festuca,BAY-R,BAY,Roadside,12/12/22,0.0009,0.1154,9/16/21,10/16/21,25.5,25.8,0.3,3.82,4.71,0.89
141,5,Construction Soil,Festuca,BAY-R,BAY,Roadside,12/11/22,0.0018,0.0905,9/16/21,10/16/21,24.9,18.3,-6.6,5.28,8.54,3.26
142,6,Construction Soil,Festuca,BAY-R,BAY,Roadside,12/12/22,0.0008,0.1036,9/16/21,10/17/21,48.9,48.9,0,6.25,6.34,0.09
143,7,Construction Soil,Festuca,BAY-R,BAY,Roadside,12/14/22,0.0008,0.1448,9/16/21,10/17/21,23.8,24.5,0.7,4.78,3.89,-0.89
144,8,Construction Soil,Festuca,BAY-R,BAY,Roadside,12/14/22,0.0015,0.0608,9/16/21,10/17/21,28.7,28.2,-0.5,6.08,5.41,-0.67
145,1,Construction Soil,Festuca,CHE-V,CHE,Vegetated,12/16/22,0.0017,0.0984,9/14/21,10/15/21,27.1,44.7,17.6,3.26,3.09,-0.17
146,2,Construction Soil,Festuca,CHE-V,CHE,Vegetated,12/10/22,0.0017,0.0976,9/15/21,10/15/21,26,25.1,-0.9,4.63,6.12,1.49
147,3,Construction Soil,Festuca,CHE-V,CHE,Vegetated,12/13/22,0.0013,0.0874,9/15/21,10/16/21,25,27.9,2.9,4.99,5.95,0.96
148,4,Construction Soil,Festuca,CHE-V,CHE,Vegetated,12/13/22,0.001,0.1178,9/16/21,10/16/21,33.4,38.5,5.1,5.18,5.38,0.2
149,5,Construction Soil,Festuca,CHE-V,CHE,Vegetated,12/11/22,0.0008,0.1127,9/16/21,10/16/21,27.7,31.2,3.5,4.46,6.21,1.75
150,6,Construction Soil,Festuca,CHE-V,CHE,Vegetated,12/11/22,0.0033,0.1502,9/16/21,10/17/21,50,49.9,-0.1,4.38,7.18,2.8
151,7,Construction Soil,Festuca,CHE-V,CHE,Vegetated,12/14/22,0.0004,0.0837,9/16/21,10/17/21,27.8,27.6,-0.2,4.22,5.79,1.57
152,8,Construction Soil,Festuca,CHE-V,CHE,Vegetated,12/14/22,0.0012,0.1146,9/16/21,10/17/21,31.6,31.4,-0.2,5.7,4.86,-0.84
153,1,Construction Soil,Festuca,CHE-R,CHE,Roadside,12/16/22,0.0022,0.1619,9/14/21,10/15/21,51.8,52.2,0.4,4.44,3.91,-0.53
154,2,Construction Soil,Festuca,CHE-R,CHE,Roadside,12/10/22,0.0013,0.1429,9/15/21,10/15/21,24.4,27.6,3.2,4.62,5.23,0.61
155,3,Construction Soil,Festuca,CHE-R,CHE,Roadside,12/13/22,0.001,0.1411,9/15/21,10/16/21,35.6,35.9,0.3,6.95,5.96,-0.99
156,4,Construction Soil,Festuca,CHE-R,CHE,Roadside,12/12/22,0.0007,0.1358,9/16/21,10/16/21,39.2,39.1,-0.1,3.57,5.42,1.85
157,5,Construction Soil,Festuca,CHE-R,CHE,Roadside,12/15/22,0.0014,0.1315,9/16/21,10/16/21,43.6,43.4,-0.2,4.34,4.94,0.6
158,6,Construction Soil,Festuca,CHE-R,CHE,Roadside,12/12/22,0.0012,0.0546,9/16/21,10/17/21,26.3,26.2,-0.1,6.28,5.33,-0.95
159,7,Construction Soil,Festuca,CHE-R,CHE,Roadside,12/14/22,0.0011,0.0904,9/16/21,10/17/21,41,41.2,0.2,4.49,6.92,2.43
