Pot ID,Soil,Site,Block,Habitat,Competition,Population,Biomass_date,Dittrichia_biomass,LRR_All,Grass_biomass,MeasurementDate_2,MeasurementDate_3,GrassHeight_cm_2,GrassHeight_cm_3,GrassGrowth,DittrichiaLLL_mm_2,DittrichiaLLL_mm_3,DittrichiaGrowth
649,Field Soil,BAY,1,Roadside,Bromus,BAY-R,12/16/22,0.0221,-2.408126588,0.2153,9/14/21,10/15/21,29.3,29.1,-0.2,15.63,23.45,7.82
521,Field Soil,BAY,1,Roadside,Festuca,BAY-R,12/16/22,0.0068,-3.586781584,0.4136,9/15/21,10/15/21,53.6,71.8,18.2,7.39,9.48,2.09
393,Field Soil,BAY,1,Roadside,None,BAY-R,12/16/22,0.2456,,,9/14/21,10/15/21,,,0,50.59,59.48,8.89
641,Field Soil,BAY,1,Vegetated,Bromus,BAY-V,12/15/22,0.0088,-3.274998349,0.2721,9/15/21,10/15/21,29.8,31.5,1.7,8.41,13.92,5.51
513,Field Soil,BAY,1,Vegetated,Festuca,BAY-V,12/16/22,0.0024,-4.574281333,0.6312,9/14/21,10/15/21,55,65.1,10.1,7.75,9.71,1.96
385,Field Soil,BAY,1,Vegetated,None,BAY-V,12/15/22,0.2327,,,9/15/21,10/15/21,,,0,54.42,46.79,-7.63
665,Field Soil,CHE,1,Roadside,Bromus,CHE-R,12/15/22,0.0157,-2.062580444,0.2066,9/15/21,10/15/21,27.7,27.6,-0.1,10.98,16.64,5.66
537,Field Soil,CHE,1,Roadside,Festuca,CHE-R,12/16/22,0.0011,-4.720930976,0.9425,9/14/21,10/15/21,44.9,43.5,-1.4,3.22,4.68,1.46
409,Field Soil,CHE,1,Roadside,None,CHE-R,12/16/22,0.1235,,,9/14/21,10/15/21,,,0,24.81,48.46,23.65
657,Field Soil,CHE,1,Vegetated,Bromus,CHE-V,12/15/22,0.0054,-3.45643351,0.2476,9/15/21,10/15/21,29.5,32.1,2.6,8.46,12.23,3.77
529,Field Soil,CHE,1,Vegetated,Festuca,CHE-V,12/16/22,0.0007,-5.499507408,0.7109,9/14/21,10/15/21,51.5,51.2,-0.3,4.86,7.36,2.5
401,Field Soil,CHE,1,Vegetated,None,CHE-V,12/15/22,0.1712,,,9/15/21,10/15/21,,,0,36.63,45.94,9.31
681,Field Soil,GUA,1,Roadside,Bromus,GUA-R,12/16/22,0.0071,-2.676574069,0.2514,9/14/21,10/15/21,32.8,35.4,2.6,7.86,17.98,10.12
553,Field Soil,GUA,1,Roadside,Festuca,GUA-R,12/15/22,0.0016,-4.166665224,1.0852,9/15/21,10/15/21,52.1,56.1,4,6.54,7.29,0.75
425,Field Soil,GUA,1,Roadside,None,GUA-R,12/16/22,0.1032,,,9/14/21,10/15/21,,,0,32.98,48.47,15.49
673,Field Soil,GUA,1,Vegetated,Bromus,GUA-V,12/16/22,0.0287,-2.271083638,0.2087,9/14/21,10/15/21,30.7,34.7,4,20.07,28.22,8.15
545,Field Soil,GUA,1,Vegetated,Festuca,GUA-V,12/15/22,0.0027,-4.634728988,0.8403,9/15/21,10/15/21,55.2,62.5,7.3,5.21,10.16,4.95
417,Field Soil,GUA,1,Vegetated,None,GUA-V,12/15/22,0.2781,,,9/15/21,10/15/21,,,0,50.84,71.7,20.86
697,Field Soil,LEX,1,Roadside,Bromus,LEX-R,12/15/22,0.0106,-2.914706378,0.3139,9/15/21,10/15/21,29.2,33.4,4.2,10.98,19.51,8.53
569,Field Soil,LEX,1,Roadside,Festuca,LEX-R,12/15/22,0.0025,-4.359269648,0.7246,9/15/21,10/15/21,43,43.9,0.9,5.39,9.92,4.53
441,Field Soil,LEX,1,Roadside,None,LEX-R,12/16/22,0.1955,,,9/14/21,10/15/21,,,0,43,53.43,10.43
689,Field Soil,LEX,1,Vegetated,Bromus,LEX-V,12/16/22,0.0031,-4.206616622,0.2306,9/14/21,10/15/21,34.4,34.1,-0.3,6.87,10.72,3.85
561,Field Soil,LEX,1,Vegetated,Festuca,LEX-V,12/16/22,0.0046,-3.81196243,0.5023,9/14/21,10/15/21,42,46.3,4.3,8.19,13.58,5.39
433,Field Soil,LEX,1,Vegetated,None,LEX-V,12/16/22,0.2081,,,9/14/21,10/15/21,,,0,40.08,51.94,11.86
713,Field Soil,OAP,1,Roadside,Bromus,OAP-R,12/16/22,0.0092,-3.256422897,0.2968,9/14/21,10/15/21,35.7,35.4,-0.3,9.26,17.68,8.42
585,Field Soil,OAP,1,Roadside,Festuca,OAP-R,12/15/22,0.0016,-5.005622752,0.774,9/15/21,10/15/21,46.1,46.2,0.1,7.98,8.45,0.47
457,Field Soil,OAP,1,Roadside,None,OAP-R,12/15/22,0.2388,,,9/15/21,10/15/21,,,0,48.52,51.85,3.33
705,Field Soil,OAP,1,Vegetated,Bromus,OAP-V,12/15/22,0.0156,-2.978273052,0.2641,9/15/21,10/15/21,28.6,28.4,-0.2,13.07,17.32,4.25
577,Field Soil,OAP,1,Vegetated,Festuca,OAP-V,12/16/22,0.0212,-2.671542785,0.9979,9/14/21,10/15/21,70.3,40.6,-29.7,7.41,22.95,15.54
449,Field Soil,OAP,1,Vegetated,None,OAP-V,12/15/22,0.3066,,,9/15/21,10/15/21,,,0,53.91,57.46,3.55
729,Field Soil,PAR,1,Roadside,Bromus,PAR-R,12/16/22,0.0225,-2.59093361,0.2973,9/14/21,10/15/21,32.9,32.2,-0.7,16.45,24.97,8.52
601,Field Soil,PAR,1,Roadside,Festuca,PAR-R,12/15/22,0.0021,-4.962511574,0.963,9/15/21,10/15/21,36.2,32.5,-3.7,3.55,5.08,1.53
473,Field Soil,PAR,1,Roadside,None,PAR-R,12/16/22,0.3002,,,9/14/21,10/15/21,,,0,49.61,57.97,8.36
721,Field Soil,PAR,1,Vegetated,Bromus,PAR-V,12/16/22,0.0302,-2.048333527,0.2804,9/15/21,10/15/21,25.4,27.9,2.5,18.14,27.41,9.27
593,Field Soil,PAR,1,Vegetated,Festuca,PAR-V,12/16/22,0.0011,-5.360865271,1.8682,9/14/21,10/15/21,44.8,48.5,3.7,5.25,4.43,-0.82
465,Field Soil,PAR,1,Vegetated,None,PAR-V,12/16/22,0.2342,,,9/14/21,10/15/21,,,0,54.96,56.43,1.47
745,Field Soil,PEN,1,Roadside,Bromus,PEN-R,12/16/22,0.0193,-2.402125596,0.348,9/14/21,10/15/21,36.4,37.5,1.1,19.87,19.36,-0.51
617,Field Soil,PEN,1,Roadside,Festuca,PEN-R,12/16/22,0.0077,-3.321010363,1.0695,9/15/21,10/15/21,77.3,77.7,0.4,6.61,13.11,6.5
489,Field Soil,PEN,1,Roadside,None,PEN-R,12/16/22,0.2132,,,9/14/21,10/15/21,,,0,39.85,57.16,17.31
737,Field Soil,PEN,1,Vegetated,Bromus,PEN-V,12/15/22,0.0233,-2.10486664,0.2752,9/15/21,10/15/21,34.9,34.5,-0.4,18.72,21.78,3.06
609,Field Soil,PEN,1,Vegetated,Festuca,PEN-V,12/16/22,0.0015,-4.847854893,1.9038,9/15/21,10/15/21,49.3,48.9,-0.4,6.29,5.07,-1.22
481,Field Soil,PEN,1,Vegetated,None,PEN-V,12/16/22,0.1912,,,9/14/21,10/15/21,,,0,45.13,55.65,10.52
761,Field Soil,SSJ,1,Roadside,Bromus,SSJ-R,12/16/22,0.0086,-3.554350887,0.2834,9/14/21,10/15/21,31.2,30.2,-1,11.17,13.23,2.06
633,Field Soil,SSJ,1,Roadside,Festuca,SSJ-R,12/15/22,0.0023,-4.873203967,0.7302,9/15/21,10/15/21,46.4,46.2,-0.2,6.03,6.61,0.58
505,Field Soil,SSJ,1,Roadside,None,SSJ-R,12/15/22,0.3007,,,9/15/21,10/15/21,,,0,61.76,64.92,3.16
753,Field Soil,SSJ,1,Vegetated,Bromus,SSJ-V,12/15/22,0.0359,-1.958956391,0.1955,9/15/21,10/15/21,32.3,32,-0.3,18.51,31.52,13.01
625,Field Soil,SSJ,1,Vegetated,Festuca,SSJ-V,12/15/22,0.0109,-3.150930897,0.8525,9/15/21,10/15/21,74.1,72.7,-1.4,11.33,17.11,5.78
497,Field Soil,SSJ,1,Vegetated,None,SSJ-V,12/15/22,0.2546,,,9/15/21,10/15/21,,,0,52.88,63.97,11.09
650,Field Soil,BAY,2,Roadside,Bromus,BAY-R,12/10/22,0.0271,-2.162177186,0.2417,9/15/21,10/15/21,30.6,29.9,-0.7,16.34,27.61,11.27
522,Field Soil,BAY,2,Roadside,Festuca,BAY-R,12/9/22,0.0133,-2.873946878,0.3206,9/15/21,10/16/21,43.4,42.5,-0.9,10.99,20.64,9.65
394,Field Soil,BAY,2,Roadside,None,BAY-R,12/10/22,0.2355,,,9/15/21,10/15/21,,,0,52.08,70.51,18.43
642,Field Soil,BAY,2,Vegetated,Bromus,BAY-V,12/9/22,0.0105,-3.315397392,0.2412,9/15/21,10/16/21,25.9,25.4,-0.5,9.62,18.84,9.22
514,Field Soil,BAY,2,Vegetated,Festuca,BAY-V,12/9/22,0.002,-4.973625468,0.6737,9/15/21,10/16/21,76.5,76.5,0,4.8,4.27,-0.53
386,Field Soil,BAY,2,Vegetated,None,BAY-V,12/9/22,0.2891,,,9/15/21,10/16/21,,,0,56.34,63.89,7.55
666,Field Soil,CHE,2,Roadside,Bromus,CHE-R,12/9/22,0.0086,-2.907663255,0.2426,9/15/21,10/16/21,30,33.2,3.2,8.14,16.33,8.19
538,Field Soil,CHE,2,Roadside,Festuca,CHE-R,12/9/22,0.0018,-4.471638793,0.4402,9/15/21,10/16/21,42.3,46.9,4.6,6.02,8.51,2.49
410,Field Soil,CHE,2,Roadside,None,CHE-R,12/10/22,0.1575,,,9/15/21,10/15/21,,,0,24.84,58.35,33.51
658,Field Soil,CHE,2,Vegetated,Bromus,CHE-V,12/9/22,0.007,-3.074015192,0.2018,9/15/21,10/16/21,27,26.5,-0.5,8.09,16.09,8
530,Field Soil,CHE,2,Vegetated,Festuca,CHE-V,12/10/22,0.0035,-3.767162373,0.3945,9/15/21,10/15/21,32.5,32.3,-0.2,7.07,11.5,4.43
402,Field Soil,CHE,2,Vegetated,None,CHE-V,12/10/22,0.1514,,,9/15/21,10/15/21,,,0,31.15,46.7,15.55
682,Field Soil,GUA,2,Roadside,Bromus,GUA-R,12/9/22,0.0036,-3.548179572,0.2353,9/15/21,10/15/21,31.5,37.6,6.1,7.69,12.38,4.69
554,Field Soil,GUA,2,Roadside,Festuca,GUA-R,12/9/22,0.0102,-2.506725697,0.6653,9/15/21,10/16/21,55.3,56.5,1.2,7.76,15.44,7.68
426,Field Soil,GUA,2,Roadside,None,GUA-R,12/10/22,0.1251,,,9/15/21,10/15/21,,,0,33.69,48.85,15.16
674,Field Soil,GUA,2,Vegetated,Bromus,GUA-V,12/9/22,0.0351,-1.688822942,0.1634,9/15/21,10/16/21,27,25.1,-1.9,19.92,28.82,8.9
546,Field Soil,GUA,2,Vegetated,Festuca,GUA-V,12/10/22,0.0035,-3.994261104,0.5756,9/15/21,10/15/21,37.6,32.2,-5.4,7.62,12.46,4.84
418,Field Soil,GUA,2,Vegetated,None,GUA-V,12/9/22,0.19,,,9/15/21,10/16/21,,,0,34.82,70.39,35.57
698,Field Soil,LEX,2,Roadside,Bromus,LEX-R,12/10/22,0.0092,-3.221481124,0.3899,9/15/21,10/15/21,31.1,36.3,5.2,10.78,16.28,5.5
570,Field Soil,LEX,2,Roadside,Festuca,LEX-R,12/9/22,0.0059,-3.665732257,0.886,9/15/21,10/16/21,53.5,54.5,1,7.6,14.61,7.01
442,Field Soil,LEX,2,Roadside,None,LEX-R,12/9/22,0.2306,,,9/15/21,10/16/21,,,0,49.47,55.01,5.54
690,Field Soil,LEX,2,Vegetated,Bromus,LEX-V,12/10/22,0.0077,-3.174801795,0.3537,9/15/21,10/15/21,36.8,36.2,-0.6,8.35,18.63,10.28
562,Field Soil,LEX,2,Vegetated,Festuca,LEX-V,12/10/22,0.0021,-4.474084779,1.1382,9/15/21,10/15/21,49,46.3,-2.7,4.22,7.76,3.54
434,Field Soil,LEX,2,Vegetated,None,LEX-V,12/10/22,0.1842,,,9/15/21,10/15/21,,,0,44.75,48.74,3.99
714,Field Soil,OAP,2,Roadside,Bromus,OAP-R,12/10/22,0.0048,-3.950842997,0.3793,9/15/21,10/15/21,50.5,49.8,-0.7,9.53,10.92,1.39
586,Field Soil,OAP,2,Roadside,Festuca,OAP-R,12/9/22,0.0003,-6.72343172,0.9726,9/15/21,10/16/21,62.3,67,4.7,5.08,7.04,1.96
458,Field Soil,OAP,2,Roadside,None,OAP-R,12/10/22,0.2495,,,9/15/21,10/15/21,,,0,53.07,61.69,8.62
706,Field Soil,OAP,2,Vegetated,Bromus,OAP-V,12/9/22,0.0064,-3.0924619,0.4565,9/15/21,10/15/21,35.9,33.4,-2.5,11.12,15.7,4.58
578,Field Soil,OAP,2,Vegetated,Festuca,OAP-V,12/9/22,0.0025,-4.032469159,0.9224,9/15/21,10/16/21,57.5,56.7,-0.8,7.11,8.01,0.9
450,Field Soil,OAP,2,Vegetated,None,OAP-V,12/10/22,0.141,,,9/15/21,10/15/21,,,0,28.67,41.88,13.21
730,Field Soil,PAR,2,Roadside,Bromus,PAR-R,12/9/22,0.015,-2.714253145,0.2938,9/15/21,10/16/21,33,30.3,-2.7,13.83,22.62,8.79
602,Field Soil,PAR,2,Roadside,Festuca,PAR-R,12/9/22,0.0015,-5.016838238,1.784,9/15/21,10/16/21,49.2,45.3,-3.9,4.16,5.54,1.38
474,Field Soil,PAR,2,Roadside,None,PAR-R,12/10/22,0.2264,,,9/15/21,10/15/21,,,0,45.2,52.38,7.18
722,Field Soil,PAR,2,Vegetated,Bromus,PAR-V,12/9/22,0.0403,-1.759823982,0.2657,9/15/21,10/16/21,38,36.1,-1.9,19.35,35.61,16.26
594,Field Soil,PAR,2,Vegetated,Festuca,PAR-V,12/9/22,0.0013,-5.193811187,1.5175,9/15/21,10/16/21,64.9,64.3,-0.6,4.29,5.41,1.12
466,Field Soil,PAR,2,Vegetated,None,PAR-V,12/9/22,0.2342,,,9/15/21,10/16/21,,,0,49.53,54.89,5.36
746,Field Soil,PEN,2,Roadside,Bromus,PEN-R,12/9/22,0.025,-2.07140937,0.2279,9/15/21,10/16/21,35.2,34.6,-0.6,15.98,28.35,12.37
618,Field Soil,PEN,2,Roadside,Festuca,PEN-R,12/10/22,0.0006,-5.801110819,1.0472,9/15/21,10/15/21,59.7,59.2,-0.5,3.14,5.98,2.84
490,Field Soil,PEN,2,Roadside,None,PEN-R,12/10/22,0.1984,,,9/15/21,10/15/21,,,0,37.04,50.39,13.35
738,Field Soil,PEN,2,Vegetated,Bromus,PEN-V,12/9/22,0.0149,-2.523847682,0.3428,9/15/21,10/16/21,39.6,39.6,0,12.7,22.35,9.65
610,Field Soil,PEN,2,Vegetated,Festuca,PEN-V,12/10/22,0.0005,-5.918356075,1.2619,9/15/21,10/15/21,58.7,49.2,-9.5,3.51,4.85,1.34
482,Field Soil,PEN,2,Vegetated,None,PEN-V,12/9/22,0.1859,,,9/15/21,10/16/21,,,0,43.11,58.59,15.48
762,Field Soil,SSJ,2,Roadside,Bromus,SSJ-R,12/10/22,0.0049,-4.092642434,0.4165,9/15/21,10/15/21,38.7,32.2,-6.5,10.52,12.14,1.62
634,Field Soil,SSJ,2,Roadside,Festuca,SSJ-R,12/10/22,0.0251,-2.459009793,0.2823,9/15/21,10/15/21,37.8,36.6,-1.2,19.35,22.81,3.46
506,Field Soil,SSJ,2,Roadside,None,SSJ-R,12/9/22,0.2935,,,9/15/21,10/16/21,,,0,50.38,64.41,14.03
754,Field Soil,SSJ,2,Vegetated,Bromus,SSJ-V,12/10/22,0.0318,-1.862079203,0.2751,9/15/21,10/15/21,32.5,29,-3.5,23.01,29.52,6.51
626,Field Soil,SSJ,2,Vegetated,Festuca,SSJ-V,12/9/22,0.0141,-2.675370695,0.8104,9/15/21,10/16/21,51.8,42.2,-9.6,15.2,12.68,-2.52
498,Field Soil,SSJ,2,Vegetated,None,SSJ-V,12/10/22,0.2047,,,9/15/21,10/15/21,,,0,44.43,60.35,15.92
651,Field Soil,BAY,3,Roadside,Bromus,BAY-R,12/13/22,0.0167,-0.751303101,0.2663,9/15/21,10/16/21,36.5,36.2,-0.3,13.25,21.74,8.49
523,Field Soil,BAY,3,Roadside,Festuca,BAY-R,12/13/22,0.0046,-2.040655517,0.4082,9/15/21,10/16/21,48.1,50.6,2.5,8.24,11.3,3.06
395,Field Soil,BAY,3,Roadside,None,BAY-R,12/13/22,0.0354,,,9/15/21,10/16/21,,,0,10.03,33.37,23.34
643,Field Soil,BAY,3,Vegetated,Bromus,BAY-V,12/13/22,0.0009,-5.777996261,0.2722,9/15/21,10/16/21,35.7,35.1,-0.6,5.99,8.53,2.54
515,Field Soil,BAY,3,Vegetated,Festuca,BAY-V,12/13/22,0.0027,-4.679383973,0.3329,9/15/21,10/16/21,44.1,44.1,0,8.39,9.1,0.71
387,Field Soil,BAY,3,Vegetated,None,BAY-V,12/13/22,0.2908,,,9/15/21,10/16/21,,,0,54.93,61.86,6.93
667,Field Soil,CHE,3,Roadside,Bromus,CHE-R,12/13/22,0.0021,-4.357319141,0.178,9/15/21,10/16/21,33.6,33.8,0.2,12.24,19.7,7.46
539,Field Soil,CHE,3,Roadside,Festuca,CHE-R,12/13/22,0.0017,-4.568628235,1.2351,9/15/21,10/16/21,80.9,68.3,-12.6,3.62,9.09,5.47
411,Field Soil,CHE,3,Roadside,None,CHE-R,12/13/22,0.1639,,,9/15/21,10/16/21,,,0,30.28,50.42,20.14
659,Field Soil,CHE,3,Vegetated,Bromus,CHE-V,12/13/22,0.0056,-3.40238715,0.1923,9/15/21,10/16/21,36.2,35.8,-0.4,6.85,14.19,7.34
531,Field Soil,CHE,3,Vegetated,Festuca,CHE-V,12/13/22,0.0027,-4.131901975,0.5209,9/15/21,10/16/21,44.5,39.8,-4.7,6.92,7.21,0.29
403,Field Soil,CHE,3,Vegetated,None,CHE-V,12/13/22,0.1682,,,9/15/21,10/16/21,,,0,36.13,47.23,11.1
683,Field Soil,GUA,3,Roadside,Bromus,GUA-R,12/13/22,0.0035,-3.761864347,0.3317,9/15/21,10/16/21,31.1,33.5,2.4,8.37,14.37,6
555,Field Soil,GUA,3,Roadside,Festuca,GUA-R,12/13/22,0.0013,-4.752263051,0.8641,9/15/21,10/16/21,52.2,49.1,-3.1,4.37,6.66,2.29
427,Field Soil,GUA,3,Roadside,None,GUA-R,12/13/22,0.1506,,,9/15/21,10/16/21,,,0,24.92,49.91,24.99
675,Field Soil,GUA,3,Vegetated,Bromus,GUA-V,12/13/22,0.0212,-2.208689007,0.1884,9/15/21,10/16/21,25.7,33.4,7.7,18.88,22.65,3.77
547,Field Soil,GUA,3,Vegetated,Festuca,GUA-V,12/13/22,0.0039,-3.901713636,0.6372,9/15/21,10/16/21,35.3,29.7,-5.6,7.55,8.77,1.22
419,Field Soil,GUA,3,Vegetated,None,GUA-V,12/13/22,0.193,,,9/15/21,10/16/21,,,0,43.39,52.81,9.42
699,Field Soil,LEX,3,Roadside,Bromus,LEX-R,12/13/22,0.005,-3.955848485,0.4419,9/15/21,10/16/21,40.5,40,-0.5,7.37,13.01,5.64
571,Field Soil,LEX,3,Roadside,Festuca,LEX-R,12/13/22,0.0029,-4.50057566,1.0334,9/15/21,10/16/21,83.6,31.5,-52.1,6.03,11.26,5.23
443,Field Soil,LEX,3,Roadside,None,LEX-R,12/13/22,0.2612,,,9/15/21,10/16/21,,,0,56.94,65.15,8.21
691,Field Soil,LEX,3,Vegetated,Bromus,LEX-V,12/13/22,0.0022,-4.217500344,0.3693,9/15/21,10/16/21,33.7,32,-1.7,6.27,10.86,4.59
563,Field Soil,LEX,3,Vegetated,Festuca,LEX-V,12/13/22,,#NUM!,0.6515,9/15/21,10/16/21,43,37.1,-5.9,,,0
435,Field Soil,LEX,3,Vegetated,None,LEX-V,12/13/22,0.1493,,,9/15/21,10/16/21,,,0,36.59,50.47,13.88
715,Field Soil,OAP,3,Roadside,Bromus,OAP-R,12/13/22,0.0032,-4.298560104,0.432,9/15/21,10/16/21,43.4,43,-0.4,7.73,10.25,2.52
587,Field Soil,OAP,3,Roadside,Festuca,OAP-R,12/13/22,0.0013,-5.199346649,0.9022,9/15/21,10/16/21,45.3,44.9,-0.4,6.51,9.02,2.51
459,Field Soil,OAP,3,Roadside,None,OAP-R,12/13/22,0.2355,,,9/15/21,10/16/21,,,0,51.88,52.55,0.67
707,Field Soil,OAP,3,Vegetated,Bromus,OAP-V,12/13/22,0.0097,-2.890371758,0.3917,9/15/21,10/16/21,41.5,36.7,-4.8,11.09,18.13,7.04
579,Field Soil,OAP,3,Vegetated,Festuca,OAP-V,12/13/22,0.0204,-2.146962743,0.6472,9/15/21,10/16/21,51.5,53.9,2.4,17.12,22.2,5.08
451,Field Soil,OAP,3,Vegetated,None,OAP-V,12/13/22,0.1746,,,9/15/21,10/16/21,,,0,40.96,52.38,11.42
