Num,Site,Habitat,Population,Rep,DishNum,PopNum,Treatment,ID,SurvivalID,NoGermDish,TotGermDish,PropGermDish,Label,PlantDate,GermDate,Censor,Census,DaysCensus,DaysToGerm
1,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed1Date,7/9/21,7/11/21,1,8/2/21,0,2
2,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed2Date,7/9/21,7/11/21,1,8/2/21,0,2
3,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed3Date,7/9/21,7/11/21,1,8/2/21,0,2
4,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed4Date,7/9/21,7/12/21,1,8/2/21,0,3
5,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed5Date,7/9/21,7/12/21,1,8/2/21,0,3
6,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed6Date,7/9/21,7/14/21,1,8/2/21,0,5
7,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed7Date,7/9/21,7/22/21,1,8/2/21,0,13
8,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed8Date,7/9/21,7/29/21,1,8/2/21,0,20
9,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed9Date,7/9/21,,NA,8/2/21,0,0
10,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed10Date,7/9/21,,NA,8/2/21,0,0
11,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed1Date,7/9/21,7/11/21,1,8/2/21,0,2
12,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed2Date,7/9/21,7/12/21,1,8/2/21,0,3
13,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed3Date,7/9/21,7/12/21,1,8/2/21,0,3
14,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed4Date,7/9/21,7/13/21,1,8/2/21,0,4
15,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed5Date,7/9/21,7/13/21,1,8/2/21,0,4
16,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed6Date,7/9/21,7/13/21,1,8/2/21,0,4
17,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed7Date,7/9/21,7/18/21,1,8/2/21,0,9
18,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed8Date,7/9/21,7/18/21,1,8/2/21,0,9
19,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed9Date,7/9/21,7/22/21,1,8/2/21,0,13
20,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed10Date,7/9/21,,NA,8/2/21,0,0
21,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed1Date,7/9/21,7/11/21,1,8/2/21,0,2
22,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed2Date,7/9/21,7/12/21,1,8/2/21,0,3
23,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed3Date,7/9/21,7/12/21,1,8/2/21,0,3
24,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed4Date,7/9/21,7/24/21,1,8/2/21,0,15
25,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed5Date,7/9/21,,NA,8/2/21,0,0
26,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed6Date,7/9/21,,NA,8/2/21,0,0
27,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed7Date,7/9/21,,NA,8/2/21,0,0
28,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed8Date,7/9/21,,NA,8/2/21,0,0
29,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed9Date,7/9/21,,NA,8/2/21,0,0
30,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed10Date,7/9/21,,NA,8/2/21,0,0
31,BAY,Vegetated,BAY-O,D,4,1,Filter,D_01,Filter_D,2,8,0.8,Seed1Date,7/9/21,7/11/21,1,8/2/21,0,2
32,BAY,Vegetated,BAY-O,D,4,1,Filter,D_01,Filter_D,2,8,0.8,Seed2Date,7/9/21,7/11/21,1,8/2/21,0,2
33,BAY,Vegetated,BAY-O,D,4,1,Filter,D_01,Filter_D,2,8,0.8,Seed3Date,7/9/21,7/12/21,1,8/2/21,0,3
34,BAY,Vegetated,BAY-O,D,4,1,Filter,D_01,Filter_D,2,8,0.8,Seed4Date,7/9/21,7/12/21,1,8/2/21,0,3
35,BAY,Vegetated,BAY-O,D,4,1,Filter,D_01,Filter_D,2,8,0.8,Seed5Date,7/9/21,7/12/21,1,8/2/21,0,3
36,BAY,Vegetated,BAY-O,D,4,1,Filter,D_01,Filter_D,2,8,0.8,Seed6Date,7/9/21,7/12/21,1,8/2/21,0,3
37,BAY,Vegetated,BAY-O,D,4,1,Filter,D_01,Filter_D,2,8,0.8,Seed7Date,7/9/21,7/16/21,1,8/2/21,0,7
38,BAY,Vegetated,BAY-O,D,4,1,Filter,D_01,Filter_D,2,8,0.8,Seed8Date,7/9/21,7/20/21,1,8/2/21,0,11
39,BAY,Vegetated,BAY-O,D,4,1,Filter,D_01,Filter_D,2,8,0.8,Seed9Date,7/9/21,7/26/21,1,8/2/21,0,17
40,BAY,Vegetated,BAY-O,D,4,1,Filter,D_01,Filter_D,2,8,0.8,Seed10Date,7/9/21,,NA,8/2/21,0,0
41,BAY,Vegetated,BAY-O,E,5,1,Filter,E_01,Filter_E,3,7,0.7,Seed1Date,7/9/21,7/12/21,1,8/2/21,0,3
42,BAY,Vegetated,BAY-O,E,5,1,Filter,E_01,Filter_E,3,7,0.7,Seed2Date,7/9/21,7/12/21,1,8/2/21,0,3
43,BAY,Vegetated,BAY-O,E,5,1,Filter,E_01,Filter_E,3,7,0.7,Seed3Date,7/9/21,7/12/21,1,8/2/21,0,3
44,BAY,Vegetated,BAY-O,E,5,1,Filter,E_01,Filter_E,3,7,0.7,Seed4Date,7/9/21,7/13/21,1,8/2/21,0,4
45,BAY,Vegetated,BAY-O,E,5,1,Filter,E_01,Filter_E,3,7,0.7,Seed5Date,7/9/21,7/13/21,1,8/2/21,0,4
46,BAY,Vegetated,BAY-O,E,5,1,Filter,E_01,Filter_E,3,7,0.7,Seed6Date,7/9/21,7/14/21,1,8/2/21,0,5
47,BAY,Vegetated,BAY-O,E,5,1,Filter,E_01,Filter_E,3,7,0.7,Seed7Date,7/9/21,7/20/21,1,8/2/21,0,11
48,BAY,Vegetated,BAY-O,E,5,1,Filter,E_01,Filter_E,3,7,0.7,Seed8Date,7/9/21,,NA,8/2/21,0,0
49,BAY,Vegetated,BAY-O,E,5,1,Filter,E_01,Filter_E,3,7,0.7,Seed9Date,7/9/21,,NA,8/2/21,0,0
50,BAY,Vegetated,BAY-O,E,5,1,Filter,E_01,Filter_E,3,7,0.7,Seed10Date,7/9/21,,NA,8/2/21,0,0
51,BAY,Roadside,BAY-R,A,6,2,Filter,A_02,Filter_A,3,7,0.7,Seed1Date,7/9/21,7/10/21,1,8/2/21,0,1
52,BAY,Roadside,BAY-R,A,6,2,Filter,A_02,Filter_A,3,7,0.7,Seed2Date,7/9/21,7/11/21,1,8/2/21,0,2
53,BAY,Roadside,BAY-R,A,6,2,Filter,A_02,Filter_A,3,7,0.7,Seed3Date,7/9/21,7/11/21,1,8/2/21,0,2
54,BAY,Roadside,BAY-R,A,6,2,Filter,A_02,Filter_A,3,7,0.7,Seed4Date,7/9/21,7/11/21,1,8/2/21,0,2
55,BAY,Roadside,BAY-R,A,6,2,Filter,A_02,Filter_A,3,7,0.7,Seed5Date,7/9/21,7/11/21,1,8/2/21,0,2
56,BAY,Roadside,BAY-R,A,6,2,Filter,A_02,Filter_A,3,7,0.7,Seed6Date,7/9/21,7/13/21,1,8/2/21,0,4
57,BAY,Roadside,BAY-R,A,6,2,Filter,A_02,Filter_A,3,7,0.7,Seed7Date,7/9/21,7/21/21,1,8/2/21,0,12
58,BAY,Roadside,BAY-R,A,6,2,Filter,A_02,Filter_A,3,7,0.7,Seed8Date,7/9/21,,NA,8/2/21,0,0
59,BAY,Roadside,BAY-R,A,6,2,Filter,A_02,Filter_A,3,7,0.7,Seed9Date,7/9/21,,NA,8/2/21,0,0
60,BAY,Roadside,BAY-R,A,6,2,Filter,A_02,Filter_A,3,7,0.7,Seed10Date,7/9/21,,NA,8/2/21,0,0
61,BAY,Roadside,BAY-R,B,7,2,Filter,B_02,Filter_B,1,9,0.9,Seed1Date,7/9/21,7/10/21,1,8/2/21,0,1
62,BAY,Roadside,BAY-R,B,7,2,Filter,B_02,Filter_B,1,9,0.9,Seed2Date,7/9/21,7/11/21,1,8/2/21,0,2
63,BAY,Roadside,BAY-R,B,7,2,Filter,B_02,Filter_B,1,9,0.9,Seed3Date,7/9/21,7/11/21,1,8/2/21,0,2
64,BAY,Roadside,BAY-R,B,7,2,Filter,B_02,Filter_B,1,9,0.9,Seed4Date,7/9/21,7/11/21,1,8/2/21,0,2
65,BAY,Roadside,BAY-R,B,7,2,Filter,B_02,Filter_B,1,9,0.9,Seed5Date,7/9/21,7/11/21,1,8/2/21,0,2
66,BAY,Roadside,BAY-R,B,7,2,Filter,B_02,Filter_B,1,9,0.9,Seed6Date,7/9/21,7/11/21,1,8/2/21,0,2
67,BAY,Roadside,BAY-R,B,7,2,Filter,B_02,Filter_B,1,9,0.9,Seed7Date,7/9/21,7/12/21,1,8/2/21,0,3
68,BAY,Roadside,BAY-R,B,7,2,Filter,B_02,Filter_B,1,9,0.9,Seed8Date,7/9/21,7/12/21,1,8/2/21,0,3
69,BAY,Roadside,BAY-R,B,7,2,Filter,B_02,Filter_B,1,9,0.9,Seed9Date,7/9/21,7/21/21,1,8/2/21,0,12
70,BAY,Roadside,BAY-R,B,7,2,Filter,B_02,Filter_B,1,9,0.9,Seed10Date,7/9/21,,NA,8/2/21,0,0
71,BAY,Roadside,BAY-R,C,8,2,Filter,C_02,Filter_C,1,9,0.9,Seed1Date,7/9/21,7/10/21,1,8/2/21,0,1
72,BAY,Roadside,BAY-R,C,8,2,Filter,C_02,Filter_C,1,9,0.9,Seed2Date,7/9/21,7/11/21,1,8/2/21,0,2
73,BAY,Roadside,BAY-R,C,8,2,Filter,C_02,Filter_C,1,9,0.9,Seed3Date,7/9/21,7/11/21,1,8/2/21,0,2
74,BAY,Roadside,BAY-R,C,8,2,Filter,C_02,Filter_C,1,9,0.9,Seed4Date,7/9/21,7/11/21,1,8/2/21,0,2
75,BAY,Roadside,BAY-R,C,8,2,Filter,C_02,Filter_C,1,9,0.9,Seed5Date,7/9/21,7/12/21,1,8/2/21,0,3
76,BAY,Roadside,BAY-R,C,8,2,Filter,C_02,Filter_C,1,9,0.9,Seed6Date,7/9/21,7/12/21,1,8/2/21,0,3
77,BAY,Roadside,BAY-R,C,8,2,Filter,C_02,Filter_C,1,9,0.9,Seed7Date,7/9/21,7/12/21,1,8/2/21,0,3
78,BAY,Roadside,BAY-R,C,8,2,Filter,C_02,Filter_C,1,9,0.9,Seed8Date,7/9/21,7/12/21,1,8/2/21,0,3
79,BAY,Roadside,BAY-R,C,8,2,Filter,C_02,Filter_C,1,9,0.9,Seed9Date,7/9/21,7/14/21,1,8/2/21,0,5
80,BAY,Roadside,BAY-R,C,8,2,Filter,C_02,Filter_C,1,9,0.9,Seed10Date,7/9/21,,NA,8/2/21,0,0
81,BAY,Roadside,BAY-R,D,9,2,Filter,D_02,Filter_D,1,9,0.9,Seed1Date,7/9/21,7/10/21,1,8/2/21,0,1
82,BAY,Roadside,BAY-R,D,9,2,Filter,D_02,Filter_D,1,9,0.9,Seed2Date,7/9/21,7/11/21,1,8/2/21,0,2
83,BAY,Roadside,BAY-R,D,9,2,Filter,D_02,Filter_D,1,9,0.9,Seed3Date,7/9/21,7/11/21,1,8/2/21,0,2
84,BAY,Roadside,BAY-R,D,9,2,Filter,D_02,Filter_D,1,9,0.9,Seed4Date,7/9/21,7/11/21,1,8/2/21,0,2
85,BAY,Roadside,BAY-R,D,9,2,Filter,D_02,Filter_D,1,9,0.9,Seed5Date,7/9/21,7/12/21,1,8/2/21,0,3
86,BAY,Roadside,BAY-R,D,9,2,Filter,D_02,Filter_D,1,9,0.9,Seed6Date,7/9/21,7/12/21,1,8/2/21,0,3
87,BAY,Roadside,BAY-R,D,9,2,Filter,D_02,Filter_D,1,9,0.9,Seed7Date,7/9/21,7/12/21,1,8/2/21,0,3
88,BAY,Roadside,BAY-R,D,9,2,Filter,D_02,Filter_D,1,9,0.9,Seed8Date,7/9/21,7/12/21,1,8/2/21,0,3
89,BAY,Roadside,BAY-R,D,9,2,Filter,D_02,Filter_D,1,9,0.9,Seed9Date,7/9/21,7/14/21,1,8/2/21,0,5
90,BAY,Roadside,BAY-R,D,9,2,Filter,D_02,Filter_D,1,9,0.9,Seed10Date,7/9/21,,NA,8/2/21,0,0
91,BAY,Roadside,BAY-R,E,10,2,Filter,E_02,Filter_E,0,10,1,Seed1Date,7/9/21,7/11/21,1,8/2/21,0,2
92,BAY,Roadside,BAY-R,E,10,2,Filter,E_02,Filter_E,0,10,1,Seed2Date,7/9/21,7/11/21,1,8/2/21,0,2
93,BAY,Roadside,BAY-R,E,10,2,Filter,E_02,Filter_E,0,10,1,Seed3Date,7/9/21,7/11/21,1,8/2/21,0,2
94,BAY,Roadside,BAY-R,E,10,2,Filter,E_02,Filter_E,0,10,1,Seed4Date,7/9/21,7/11/21,1,8/2/21,0,2
95,BAY,Roadside,BAY-R,E,10,2,Filter,E_02,Filter_E,0,10,1,Seed5Date,7/9/21,7/11/21,1,8/2/21,0,2
96,BAY,Roadside,BAY-R,E,10,2,Filter,E_02,Filter_E,0,10,1,Seed6Date,7/9/21,7/12/21,1,8/2/21,0,3
97,BAY,Roadside,BAY-R,E,10,2,Filter,E_02,Filter_E,0,10,1,Seed7Date,7/9/21,7/12/21,1,8/2/21,0,3
98,BAY,Roadside,BAY-R,E,10,2,Filter,E_02,Filter_E,0,10,1,Seed8Date,7/9/21,7/12/21,1,8/2/21,0,3
99,BAY,Roadside,BAY-R,E,10,2,Filter,E_02,Filter_E,0,10,1,Seed9Date,7/9/21,7/12/21,1,8/2/21,0,3
100,BAY,Roadside,BAY-R,E,10,2,Filter,E_02,Filter_E,0,10,1,Seed10Date,7/9/21,7/13/21,1,8/2/21,0,4
101,CHE,Vegetated,CHE-O,A,11,3,Filter,A_03,Filter_A,5,5,0.5,Seed1Date,7/9/21,7/11/21,1,8/2/21,0,2
102,CHE,Vegetated,CHE-O,A,11,3,Filter,A_03,Filter_A,5,5,0.5,Seed2Date,7/9/21,7/12/21,1,8/2/21,0,3
103,CHE,Vegetated,CHE-O,A,11,3,Filter,A_03,Filter_A,5,5,0.5,Seed3Date,7/9/21,7/13/21,1,8/2/21,0,4
104,CHE,Vegetated,CHE-O,A,11,3,Filter,A_03,Filter_A,5,5,0.5,Seed4Date,7/9/21,7/15/21,1,8/2/21,0,6
105,CHE,Vegetated,CHE-O,A,11,3,Filter,A_03,Filter_A,5,5,0.5,Seed5Date,7/9/21,7/21/21,1,8/2/21,0,12
106,CHE,Vegetated,CHE-O,A,11,3,Filter,A_03,Filter_A,5,5,0.5,Seed6Date,7/9/21,7/26/21,1,8/2/21,0,17
107,CHE,Vegetated,CHE-O,A,11,3,Filter,A_03,Filter_A,5,5,0.5,Seed7Date,7/9/21,7/28/21,1,8/2/21,0,19
108,CHE,Vegetated,CHE-O,A,11,3,Filter,A_03,Filter_A,5,5,0.5,Seed8Date,7/9/21,,NA,8/2/21,0,0
109,CHE,Vegetated,CHE-O,A,11,3,Filter,A_03,Filter_A,5,5,0.5,Seed9Date,7/9/21,,NA,8/2/21,0,0
110,CHE,Vegetated,CHE-O,A,11,3,Filter,A_03,Filter_A,5,5,0.5,Seed10Date,7/9/21,,NA,8/2/21,0,0
111,CHE,Vegetated,CHE-O,B,12,3,Filter,B_03,Filter_B,6,4,0.4,Seed1Date,7/9/21,7/12/21,1,8/2/21,0,3
112,CHE,Vegetated,CHE-O,B,12,3,Filter,B_03,Filter_B,6,4,0.4,Seed2Date,7/9/21,7/13/21,1,8/2/21,0,4
113,CHE,Vegetated,CHE-O,B,12,3,Filter,B_03,Filter_B,6,4,0.4,Seed3Date,7/9/21,7/19/21,1,8/2/21,0,10
114,CHE,Vegetated,CHE-O,B,12,3,Filter,B_03,Filter_B,6,4,0.4,Seed4Date,7/9/21,7/20/21,1,8/2/21,0,11
115,CHE,Vegetated,CHE-O,B,12,3,Filter,B_03,Filter_B,6,4,0.4,Seed5Date,7/9/21,7/23/21,1,8/2/21,0,14
116,CHE,Vegetated,CHE-O,B,12,3,Filter,B_03,Filter_B,6,4,0.4,Seed6Date,7/9/21,8/1/21,1,8/2/21,0,23
117,CHE,Vegetated,CHE-O,B,12,3,Filter,B_03,Filter_B,6,4,0.4,Seed7Date,7/9/21,8/1/21,1,8/2/21,0,23
118,CHE,Vegetated,CHE-O,B,12,3,Filter,B_03,Filter_B,6,4,0.4,Seed8Date,7/9/21,,NA,8/2/21,0,0
119,CHE,Vegetated,CHE-O,B,12,3,Filter,B_03,Filter_B,6,4,0.4,Seed9Date,7/9/21,,NA,8/2/21,0,0
120,CHE,Vegetated,CHE-O,B,12,3,Filter,B_03,Filter_B,6,4,0.4,Seed10Date,7/9/21,,NA,8/2/21,0,0
121,CHE,Vegetated,CHE-O,C,13,3,Filter,C_03,Filter_C,8,2,0.2,Seed1Date,7/9/21,7/12/21,1,8/2/21,0,3
122,CHE,Vegetated,CHE-O,C,13,3,Filter,C_03,Filter_C,8,2,0.2,Seed2Date,7/9/21,7/12/21,1,8/2/21,0,3
123,CHE,Vegetated,CHE-O,C,13,3,Filter,C_03,Filter_C,8,2,0.2,Seed3Date,7/9/21,7/27/21,1,8/2/21,0,18
10,CHE,Vegetated,CHE-O,C,13,3,Filter,C_03,Filter_C,8,2,0.2,Seed4Date,7/9/21,7/27/21,1,8/2/21,0,18
125,CHE,Vegetated,CHE-O,C,13,3,Filter,C_03,Filter_C,8,2,0.2,Seed5Date,7/9/21,7/29/21,1,8/2/21,0,20
126,CHE,Vegetated,CHE-O,C,13,3,Filter,C_03,Filter_C,8,2,0.2,Seed6Date,7/9/21,,NA,8/2/21,0,0
127,CHE,Vegetated,CHE-O,C,13,3,Filter,C_03,Filter_C,8,2,0.2,Seed7Date,7/9/21,,NA,8/2/21,0,0
128,CHE,Vegetated,CHE-O,C,13,3,Filter,C_03,Filter_C,8,2,0.2,Seed8Date,7/9/21,,NA,8/2/21,0,0
129,CHE,Vegetated,CHE-O,C,13,3,Filter,C_03,Filter_C,8,2,0.2,Seed9Date,7/9/21,,NA,8/2/21,0,0
130,CHE,Vegetated,CHE-O,C,13,3,Filter,C_03,Filter_C,8,2,0.2,Seed10Date,7/9/21,,NA,8/2/21,0,0
131,CHE,Vegetated,CHE-O,D,14,3,Filter,D_03,Filter_D,8,2,0.2,Seed1Date,7/9/21,7/12/21,1,8/2/21,0,3
132,CHE,Vegetated,CHE-O,D,14,3,Filter,D_03,Filter_D,8,2,0.2,Seed2Date,7/9/21,7/20/21,1,8/2/21,0,11
133,CHE,Vegetated,CHE-O,D,14,3,Filter,D_03,Filter_D,8,2,0.2,Seed3Date,7/9/21,7/22/21,1,8/2/21,0,13
134,CHE,Vegetated,CHE-O,D,14,3,Filter,D_03,Filter_D,8,2,0.2,Seed4Date,7/9/21,7/23/21,1,8/2/21,0,14
135,CHE,Vegetated,CHE-O,D,14,3,Filter,D_03,Filter_D,8,2,0.2,Seed5Date,7/9/21,7/25/21,1,8/2/21,0,16
136,CHE,Vegetated,CHE-O,D,14,3,Filter,D_03,Filter_D,8,2,0.2,Seed6Date,7/9/21,7/29/21,1,8/2/21,0,20
137,CHE,Vegetated,CHE-O,D,14,3,Filter,D_03,Filter_D,8,2,0.2,Seed7Date,7/9/21,,NA,8/2/21,0,0
138,CHE,Vegetated,CHE-O,D,14,3,Filter,D_03,Filter_D,8,2,0.2,Seed8Date,7/9/21,,NA,8/2/21,0,0
139,CHE,Vegetated,CHE-O,D,14,3,Filter,D_03,Filter_D,8,2,0.2,Seed9Date,7/9/21,,NA,8/2/21,0,0
140,CHE,Vegetated,CHE-O,D,14,3,Filter,D_03,Filter_D,8,2,0.2,Seed10Date,7/9/21,,NA,8/2/21,0,0
141,CHE,Vegetated,CHE-O,E,15,3,Filter,E_03,Filter_E,4,6,0.6,Seed1Date,7/9/21,7/11/21,1,8/2/21,0,2
142,CHE,Vegetated,CHE-O,E,15,3,Filter,E_03,Filter_E,4,6,0.6,Seed2Date,7/9/21,7/18/21,1,8/2/21,0,9
143,CHE,Vegetated,CHE-O,E,15,3,Filter,E_03,Filter_E,4,6,0.6,Seed3Date,7/9/21,7/18/21,1,8/2/21,0,9
144,CHE,Vegetated,CHE-O,E,15,3,Filter,E_03,Filter_E,4,6,0.6,Seed4Date,7/9/21,7/19/21,1,8/2/21,0,10
145,CHE,Vegetated,CHE-O,E,15,3,Filter,E_03,Filter_E,4,6,0.6,Seed5Date,7/9/21,7/19/21,1,8/2/21,0,10
146,CHE,Vegetated,CHE-O,E,15,3,Filter,E_03,Filter_E,4,6,0.6,Seed6Date,7/9/21,7/21/21,1,8/2/21,0,12
147,CHE,Vegetated,CHE-O,E,15,3,Filter,E_03,Filter_E,4,6,0.6,Seed7Date,7/9/21,7/22/21,1,8/2/21,0,13
148,CHE,Vegetated,CHE-O,E,15,3,Filter,E_03,Filter_E,4,6,0.6,Seed8Date,7/9/21,7/25/21,1,8/2/21,0,16
149,CHE,Vegetated,CHE-O,E,15,3,Filter,E_03,Filter_E,4,6,0.6,Seed9Date,7/9/21,,NA,8/2/21,0,0
150,CHE,Vegetated,CHE-O,E,15,3,Filter,E_03,Filter_E,4,6,0.6,Seed10Date,7/9/21,,NA,8/2/21,0,0
151,CHE,Roadside,CHE-R,A,16,4,Filter,A_04,Filter_A,3,7,0.7,Seed1Date,7/9/21,7/13/21,1,8/2/21,0,4
152,CHE,Roadside,CHE-R,A,16,4,Filter,A_04,Filter_A,3,7,0.7,Seed2Date,7/9/21,7/16/21,1,8/2/21,0,7
153,CHE,Roadside,CHE-R,A,16,4,Filter,A_04,Filter_A,3,7,0.7,Seed3Date,7/9/21,7/16/21,1,8/2/21,0,7
154,CHE,Roadside,CHE-R,A,16,4,Filter,A_04,Filter_A,3,7,0.7,Seed4Date,7/9/21,7/18/21,1,8/2/21,0,9
155,CHE,Roadside,CHE-R,A,16,4,Filter,A_04,Filter_A,3,7,0.7,Seed5Date,7/9/21,7/19/21,1,8/2/21,0,10
156,CHE,Roadside,CHE-R,A,16,4,Filter,A_04,Filter_A,3,7,0.7,Seed6Date,7/9/21,7/21/21,1,8/2/21,0,12
157,CHE,Roadside,CHE-R,A,16,4,Filter,A_04,Filter_A,3,7,0.7,Seed7Date,7/9/21,7/24/21,1,8/2/21,0,15
158,CHE,Roadside,CHE-R,A,16,4,Filter,A_04,Filter_A,3,7,0.7,Seed8Date,7/9/21,,NA,8/2/21,0,0
159,CHE,Roadside,CHE-R,A,16,4,Filter,A_04,Filter_A,3,7,0.7,Seed9Date,7/9/21,,NA,8/2/21,0,0
160,CHE,Roadside,CHE-R,A,16,4,Filter,A_04,Filter_A,3,7,0.7,Seed10Date,7/9/21,,NA,8/2/21,0,0
