Region 2,Estimated Number of Seeds per Plant
Southern France,2304
Southern France,2088
Southern France,2628
Southern France,2232
Southern France,1692
Southern France,1296
Southern France,2232
Southern France,1944
Southern France,2808
Southern France,1620
Southern France,2808
Southern France,1440
Southern France,1908
Southern France,2088
Southern France,1620
Southern France,2556
Southern France,2016
Southern France,2700
Southern France,2448
Southern France,1908
Southern France,1836
Southern France,1728
Southern France,1224
Southern France,2160
Southern France,972
Southern France,1692
Southern France,1332
Southern France,2160
Southern France,2232
Southern France,2196
Southern France,2268
Netherlands,2150
Netherlands,2045
Netherlands,2080
Netherlands,3490
Netherlands,1622
Netherlands,2397
Netherlands,1586
Netherlands,1340
Netherlands,1445
Netherlands,952
Netherlands,1586
Netherlands,2186
Netherlands,1692
Netherlands,2009
Netherlands,1551
Netherlands,1763
Netherlands,1622
Netherlands,2256
Netherlands,1727
Netherlands,1516
Netherlands,1199
Netherlands,1833
Netherlands,1445
Netherlands,2256
Netherlands,2785
Netherlands,1763
Netherlands,1410
Netherlands,1375
Netherlands,1516
Netherlands,2080
Netherlands,1727
Netherlands,1939
Netherlands,2080
Netherlands,1516
Netherlands,2327
Netherlands,1798
Netherlands,1586
Netherlands,917
Netherlands,1022
Netherlands,1234
Netherlands,2186
Netherlands,1269
Netherlands,1974
Netherlands,1868
Netherlands,2397
Netherlands,2045
Netherlands,1128
Netherlands,1727
Netherlands,2045
Netherlands,599
Netherlands,1586
Netherlands,1163
Netherlands,1516
Netherlands,1445
Netherlands,1551
Netherlands,1340
Netherlands,1481
Netherlands,1833
Netherlands,987
Netherlands,1375
Netherlands,1622
Netherlands,1516
Netherlands,2221
Netherlands,2045
Central France,1608
Central France,3149
Central France,2379
Central France,3082
Central France,1374
Central France,2848
Central France,2245
Central France,2647
Central France,1508
Central France,1675
Central France,2948
Central France,1441
Central France,2613
Central France,2714
Central France,1474
Central France,2144
Central France,2781
Central France,2680
Central France,2077
Central France,1709
Central France,2010
Central France,2044
Central France,2245
Central France,1642
Central France,2312
Central France,2010
Central France,1340
Central France,2446
Central France,2111
Central France,1776
Central France,2144
Central France,1809
Central France,2479
Central France,2312
Central France,1307
Central France,1307
Central France,1910
Central France,2915
Central France,2245
Central France,2044
Central France,3082
Central France,2781
Central France,1474
Central France,2044
Central France,3015
Central France,2613
Central France,1910
Central France,2144
Central France,3317
Central France,2144
Central France,2613
Central France,2178
Central France,1474
Central France,1072
Central France,1273
Central France,1642
Central France,1206
Central France,1876
Central France,1441
Central France,1072
Central France,1474
Central France,1977
Central France,2077
Central France,3149
Central France,2747
Central France,1474
Central France,1240
Central France,1508
Central France,2881
California Core,1965
California Core,1590
California Core,2208
California Core,2451
California Core,1104
California Core,1545
California Core,1435
California Core,1126
California Core,1258
California Core,1656
California Core,1766
California Core,2141
California Core,1656
California Core,1369
California Core,1280
California Core,1435
California Core,1104
California Core,1280
California Core,1656
California Core,1413
California Core,905
California Core,1236
California Core,927
California Core,1192
California Core,905
California Core,1656
California Core,1810
California Core,1590
California Core,1877
California Core,1457
California Core,1943
California Core,1899
California Core,1854
California Core,1634
California Core,1501
California Core,1391
California Core,1126
California Core,1391
California Core,1457
California Core,1634
California Core,1590
California Core,1656
California Core,1545
California Core,1457
California Core,1523
California Core,1369
California Core,618
California Core,1236
California Core,1612
California Core,1501
California Core,1479
California Core,1082
California Core,1523
California Core,1567
California Core,1347
California Core,1391
California Core,1810
California Core,1435
California Core,1148
California Core,1126
California Core,1082
California Core,993
California Core,1214
California Core,1435
California Core,1788
California Core,1744
California Core,331
California Core,1060
California Core,1303
California Core,1303
California Core,1170
California Core,927
California Core,1479
California Core,2075
California Core,1590
California Core,1391
California Core,1214
California Core,1987
California Core,1060
California Core,1678
California Core,1810
California Core,1479
California Core,1303
California Core,1258
California Core,1413
California Core,1192
California Core,1060
California Core,1148
California Core,1303
California Core,1347
California Core,1678
California Core,1303
California Core,1523
California Core,751
California Core,1921
California Core,1788
California Core,1590
California Core,1810
California Core,1082
California Core,2274
California Core,1170
California Core,839
California Core,1788
California Core,1391
California Core,1656
California Core,1590
California Core,684
California Core,2075
California Core,1457
California Core,1104
California Core,2362
California Core,1545
California Core,1590
California Core,1457
California Core,1303
California Core,1082
California Core,1258
California Core,596
California Core,1369
California Core,1567
California Core,1280
California Core,927
California Core,1214
California Core,1126
California Core,1457
California Core,949
California Core,1170
California Core,1236
California Core,1016
California Core,1126
California Core,729
California Core,883
California Core,1192
California Core,1413
California Core,1148
California Core,1435
California Core,1523
California Core,1060
California Core,1590
California Core,1192
California Core,1082
California Core,1148
California Core,1280
California Core,1258
California Edge,961
California Edge,2533
California Edge,873
California Edge,1856
California Edge,2358
California Edge,1463
California Edge,1485
California Edge,1004
California Edge,1681
California Edge,2096
California Edge,1616
California Edge,1397
California Edge,786
California Edge,1572
California Edge,1092
California Edge,1244
California Edge,1004
California Edge,1594
California Edge,1681
California Edge,1332
California Edge,1026
California Edge,851
California Edge,1332
California Edge,1616
California Edge,1419
California Edge,1354
California Edge,1659
California Edge,2030
California Edge,1550
California Edge,1375
California Edge,1441
California Edge,1572
California Edge,1266
California Edge,2140
California Edge,1550
California Edge,1528
California Edge,982
California Edge,1157
California Edge,1441
California Edge,1157
California Edge,1332
California Edge,1266
California Edge,1419
California Edge,1288
California Edge,1266
California Edge,1266
California Edge,1092
California Edge,1201
California Edge,1266
California Edge,2030
California Edge,2096
California Edge,1354
California Edge,2227
California Edge,1725
California Edge,1244
California Edge,1659
California Edge,1223
California Edge,1070
California Edge,1485
California Edge,939
California Edge,961
California Edge,1332
California Edge,1157
California Edge,1310
California Edge,1332
California Edge,1223
California Edge,1244
California Edge,1463
California Edge,1463
California Edge,1572
California Edge,808
California Edge,1157
California Edge,1157
California Edge,1157
California Edge,1572
California Edge,1441
California Edge,1441
California Edge,1375
California Edge,1113
California Edge,1310
California Edge,1725
California Edge,742
California Edge,1419
California Edge,1179
California Edge,1354
California Edge,1179
California Edge,1899
California Edge,1223
California Edge,1310
California Edge,1878
California Edge,1419
California Edge,1354
California Edge,1048
California Edge,1244
California Edge,982
California Edge,1659
California Edge,1506
California Edge,1659
California Edge,1878
California Edge,1441
California Edge,1878
California Edge,1485
California Edge,1768
California Edge,1397
California Edge,1223
California Edge,1768
California Edge,1637
California Edge,1812
California Edge,1004
California Edge,982
California Edge,1528
California Edge,1244
California Edge,1834
California Edge,1113
California Edge,939
California Edge,742
California Edge,982
California Edge,1070
California Edge,1004
California Edge,1157
California Edge,1135
California Edge,1048
California Edge,1223
California Edge,1244
California Edge,1048
California Edge,873
California Edge,851
California Edge,786
California Edge,1004
California Edge,1310
California Edge,1113
California Edge,1179
California Edge,982
California Edge,1026
California Edge,1332
California Edge,1223
California Edge,1092
California Edge,1790
California Edge,1768
California Edge,1004
California Edge,1179
California Edge,1375
,
,